,name,adress,rooms,size,level,repair,wall,price
49,4-комнатный частный дом на продажу,"город Ташкент, Яшнободский район, Оханграбо",4,3.32 сот.,114.6 м²,Канализация,Газоснабжение,70 000 у.е.
50,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район",2,55 м²,5/10,Евроремонт,Кирпичный,900 у.е./мес.
51,2-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Паркент",2,58 м²,7/9,Евроремонт,Кирпичный,900 у.е./мес.
52,3-комнатная квартира в аренду,"город Ташкент, Юнусабадский район",3,94 м²,6/10,Евроремонт,Кирпичный,2 000 у.е./мес.
53,2-комнатная квартира на продажу,"город Ташкент, Яккасарайский район",2,78 м²,2/16,Средний,Кирпичный,96 699 у.е.
54,3-комнатная квартира на продажу,"город Ташкент, Яккасарайский район, Мухандислар",3,87.5 м²,2/12,Средний,Кирпичный,99 999 у.е.
55,4-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Абдулла Авлоний",4,100 м²,7/9,Евроремонт,Кирпичный,1 200 у.е./мес.
56,3-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Шерият боги",3,91 м²,5/8,Лифт,Газоснабжение,208 990 у.е.
57,3-комнатная квартира на продажу,"город Ташкент, Олмазорский район",3,78 м²,4/4,Средний,Панельный,65 000 у.е.
58,6+ комнатная квартира на продажу,"город Ташкент, Шайхантахурский район",6+,166 м²,3/4,Средний,Кирпичный,139 000 у.е.
59,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Аккурган",2,55 м²,3/4,Евроремонт,Кирпичный,1 200 у.е./мес.
60,3-комнатная квартира в аренду,"город Ташкент, Яшнободский район",3,138 м²,5/8,Евроремонт,Кирпичный,3 200 у.е./мес.
61,2-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули",2,57 м²,6/10,Черновая отделка,Кирпичный,58 500 у.е.
62,3-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район",3,138 м²,3/8,Евроремонт,Лифт,2 200 у.е./мес.
63,Бизнес в аренду,"город Ташкент, Яккасарайский район",70 м²,Евроремонт,Кирпичный,Кондиционер,Видеонаблюдение,1 200 у.е./мес.
64,2-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Гульабад",2,70 м²,2/5,Евроремонт,Кирпичный,750 у.е./мес.
65,3-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Кары-Ниязи",3,138 м²,5/8,Евроремонт,Кирпичный,2 000 у.е./мес.
66,3-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",3,138 м²,3/8,Евроремонт,Кирпичный,2 200 у.е./мес.
67,4-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Махмуда Тараби",4,160 м²,2/6,Евроремонт,Парковочное место,2 500 у.е./мес.
68,Бизнес в аренду,"город Ташкент, Шайхантахурский район, жилой комплекс Boulevard Международный деловой центр Tashkent City",142 м²,Черновая отделка,Кирпичный,Телефонная линия,Охрана,2 500 у.е./мес.
69,1-комнатная квартира на продажу,"город Ташкент, Яккасарайский район, Дилбулок",1,43 м²,6/10,Требует ремонта,Кирпичный,45 000 у.е.
70,Офис в аренду,"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",4,146 м²,4/7,Черновая отделка,Кирпичный,3 650 у.е./мес.
71,Офис в аренду,"город Ташкент, Шайхантахурский район",1,310 м²,1/4,Евроремонт,Кирпичный,3 100 у.е./мес.
72,3-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Паркент",3,72 м²,2/9,Евроремонт,Кирпичный,900 у.е./мес.
73,4-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Кашгар",4,85 м²,4/4,Черновая отделка,Кирпичный,1 000 у.е./мес.
74,2-комнатная квартира на продажу,"город Ташкент, Юнусабадский район, Юнусабад 12-й квартал",2,52 м²,4/4,Евроремонт,Панельный,52 500 у.е.
75,2-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Кашгар",2,60 м²,7/9,Черновая отделка,Панельный,550 у.е./мес.
76,2-комнатная квартира на продажу,"город Ташкент, Юнусабадский район, Юнусабад 12-й квартал",2,52 м²,4/4,Средний,Панельный,46 490 у.е.
77,2-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, карасу-6",2,62 м²,3/9,Черновая отделка,Водоснабжение,53 500 у.е.
78,2-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Феруза",2,50 м²,3/4,Черновая отделка,Панельный,53 700 у.е.
79,2-комнатная квартира на продажу,"Ташкентская область, Кибрайский район",2,59 м²,4/9,Черновая отделка,Санузел раздельный,33 000 у.е.
80,3-комнатная квартира на продажу,"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",3,72 м²,2/4,,,67 487 у.е.
81,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район, Чапаната",2,50 м²,3/4,Черновая отделка,Кирпичный,650 у.е./мес.
82,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Феруза-1",2,48 м²,2/4,Черновая отделка,Кирпичный,320 у.е./мес.
83,2-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",2,47 м²,4/5,Черновая отделка,Панельный,54 000 у.е.
84,6+ комнатный частный дом в аренду,"город Ташкент, Яккасарайский район, Шота Руставели",6+,7 сот.,400 м²,Средний,Кирпичный,2 500 у.е./мес.
85,3-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Мусаввирлар",3,69 м²,3/4,Требует ремонта,Кирпичный,63 000 у.е.
86,3-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",3,68 м²,2/4,Черновая отделка,Кирпичный,66 500 у.е.
87,1-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Алимкент",1,32 м²,2/8,Евроремонт,Кирпичный,850 у.е./мес.
88,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Сайхун",2,78 м²,2/5,Евроремонт,Кирпичный,700 у.е./мес.
89,3-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Мавлоно Риёзи",3,72 м²,2/9,Евроремонт,Кирпичный,850 у.е./мес.
90,1-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули",1,32 м²,5/5,Черновая отделка,Кирпичный,350 у.е./мес.
91,2-комнатная квартира в аренду,"город Ташкент, Яшнободский район",2,58 м²,3/9,Евроремонт,Кирпичный,650 у.е./мес.
92,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Госпитальный",2,55 м²,8/9,Лифт,Кондиционер,500 у.е./мес.
93,Жилой земельный участок на продажу,"Ташкентская область, Юкарычирчикский район, сельский сход граждан Тинчлик",6 сот.,Телефонная линия,Кондиционер,Санузел раздельный,Интернет,120 000 у.е.
94,2-комнатная квартира в аренду,"город Ташкент, Сергелийский район",2,75 м²,1/9,Лифт,Кондиционер,400 у.е./мес.
95,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",2,47 м²,4/5,Евроремонт,Панельный,60 000 у.е.
96,2-комнатная квартира в аренду,"город Ташкент, Юнусабадский район",2,55 м²,3/4,Средний,Кирпичный,500 у.е./мес.
97,2-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",2,62 м²,3/9,Средний,Панельный,53 500 у.е.
98,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, проспект Мустакиллик",2,55 м²,5/10,Евроремонт,Кирпичный,800 у.е./мес.
99,4-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, ц-13 Лабзак",4,100 м²,2/4,Евроремонт,Кирпичный,800 у.е./мес.
100,3-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, ц-1 Буюк ипак йули",3,85 м²,3/4,Евроремонт,Кирпичный,1 100 у.е./мес.
101,2-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",2,75 м²,7/8,Евроремонт,Кирпичный,1 800 у.е./мес.
102,3-комнатная квартира на продажу,"Ташкентская область, Зангиатинский район",3,60 м²,6/6,Евроремонт,Кирпичный,68 000 у.е.
103,3-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Буз-2",3,70 м²,3/5,Евроремонт,Кирпичный,700 у.е./мес.
104,4-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Фергана Йули",4,112 м²,2/5,Евроремонт,Парковочное место,1 500 у.е./мес.
105,2-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Киёт",2,50 м²,7/9,Средний,Панельный,400 у.е./мес.
106,3-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район",3,72 м²,3/5,Евроремонт,Кирпичный,850 у.е./мес.
107,3-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Юнусабад 4-й квартал",3,80 м²,4/9,Евроремонт,Кирпичный,500 у.е./мес.
108,3-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Афросиаб",3,74 м²,2/4,Евроремонт,Кирпичный,800 у.е./мес.
109,Офис в аренду,"город Ташкент, Мирабадский район, Тараса Шевченко",2,60 м²,2/3,Средний,Кондиционер,840 у.е./мес.
110,1-комнатная квартира на продажу,"город Ташкент, Мирабадский район, Эски-Сарикул",1,37 м²,3/5,Средний,Кирпичный,36 500 у.е.
111,Офис в аренду,"город Ташкент, Яшнободский район",2,35 м²,1/3,Средний,Парковочное место,420 у.е./мес.
112,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",2,58 м²,5/9,Черновая отделка,Кирпичный,500 у.е./мес.
113,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",2,48 м²,2/5,Черновая отделка,Панельный,400 у.е./мес.
114,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Мирабад",2,52 м²,3/3,Евроремонт,Кирпичный,600 у.е./мес.
115,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Айбека",2,75 м²,7/9,Евроремонт,Панельный,1 000 у.е./мес.
116,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Яхъё Гулямова",3,75 м²,3/4,Евроремонт,Кирпичный,1 000 у.е./мес.
117,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район",3,110 м²,2/6,Евроремонт,Кирпичный,1 400 у.е./мес.
118,3-комнатная квартира в аренду,"город Ташкент, Юнусабадский район",3,86 м²,1/5,Евроремонт,Кирпичный,600 у.е./мес.
119,Бизнес на продажу,"город Ташкент, Янгихаётский район",53 м²,Черновая отделка,Кирпичный,,,54 000 у.е.
120,3-комнатная квартира на продажу,"город Ташкент, Янгихаётский район",3,55 м²,1/2,Средний,Другое,36 000 у.е.
121,2-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Лабзак",2,50 м²,6/10,Евроремонт,Кирпичный,700 у.е./мес.
122,4-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Нукус",4,184 м²,6/8,Евроремонт,Кирпичный,2 000 у.е./мес.
123,3-комнатная квартира в аренду,"город Ташкент, Юнусабадский район",3,70 м²,9/9,Черновая отделка,Лифт,500 у.е./мес.
124,3-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули",3,70 м²,3/4,Евроремонт,Кирпичный,500 у.е./мес.
125,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район",3,103 м²,1/6,Евроремонт,Кирпичный,1 200 у.е./мес.
126,3-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, махалля Юнус Ражабий, улица Юсуфа Хос Ходжиба",3,115 м²,4/7,Евроремонт,Кирпичный,1 000 у.е./мес.
127,3-комнатный частный дом на продажу,"город Ташкент, Чиланзарский район, Ок-Тепа",3,2 сот.,81 м²,Средний,Кирпичный,70 000 у.е.
128,Офис в аренду,"город Ташкент, Чиланзарский район",4,86 м²,1/4,Евроремонт,Кирпичный,900 у.е./мес.
129,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Афросиаб",3,100 м²,4/4,Евроремонт,Кирпичный,1 000 у.е./мес.
130,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,50 м²,4/4,Евроремонт,Другое,60 000 у.е.
131,6+ комнатный частный дом на продажу,"город Ташкент, Юнусабадский район",6+,3 сот.,300 м²,Требует ремонта,Кирпичный,280 000 у.е.
132,1-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, ТашГРЭС",1,40 м²,5/9,Евроремонт,Кирпичный,700 у.е./мес.
133,2-комнатная квартира на продажу,"город Ташкент, Юнусабадский район, Юнусабад-19",2,57 м²,2/10,Евроремонт,Лифт,63 500 у.е.
134,1-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",1,30 м²,4/4,Черновая отделка,Панельный,40 000 у.е.
135,2-комнатный частный дом в аренду,"город Ташкент, Юнусабадский район",2,6 сот.,600 м²,Черновая отделка,Кирпичный,2 000 у.е./мес.
136,6+ комнатная дача на продажу,"Ташкентская область, Бостанлыкский район, городской посёлок Чимган",6+,6 сот.,180 м²,Евроремонт,Кирпичный,150 000 у.е.
137,3-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Джангох",3,75 м²,4/4,Черновая отделка,Кирпичный,650 у.е./мес.
138,3-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",3,83 м²,2/4,Черновая отделка,Кирпичный,500 у.е./мес.
139,1-комнатная квартира на продажу,"город Ташкент, Юнусабадский район, махалля Бодомзор, улица Бадамзар",1,19 м²,2/4,Средний,Кирпичный,20 500 у.е.
140,3-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район",3,72 м²,8/9,Евроремонт,Монолитный,95 000 у.е.
141,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",2,56 м²,4/4,Черновая отделка,Монолитный,500 у.е./мес.
142,Офис в аренду,"город Ташкент, Мирабадский район, Сумбула",1,30 м²,2/3,Средний,Кирпичный,500 у.е./мес.
143,1-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, ТашГРЭС",1,40 м²,5/9,Евроремонт,Лифт,600 у.е./мес.
144,2-комнатная квартира на продажу,"Кашкадарьинская область, Карши",2,71 м²,4/4,Черновая отделка,Водоснабжение,30 612.58 у.е.
145,6+ комнатный частный дом на продажу,"Ташкентская область, Ташкентский район",6+,6 сот.,360 м²,Евроремонт,Кирпичный,160 000 у.е.
146,4-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Нукус",4,80 м²,8/9,Лифт,Кондиционер,1 000 у.е./мес.
147,3-комнатная квартира на продажу,"город Ташкент, Мирабадский район, Корасув",3,64.9 м²,3/4,Черновая отделка,Кирпичный,65 000 у.е.
148,3-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Иззат",3,83 м²,1/8,Газоснабжение,Канализация,550 у.е./мес.
149,2-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Паркент",2,58 м²,6/7,Черновая отделка,Кирпичный,700 у.е./мес.
150,Офис в аренду,"город Ташкент, Мирабадский район, Шахрисабз",1,20 м²,6/7,Средний,Кирпичный,350 у.е./мес.
151,3-комнатная квартира на продажу,"город Ташкент, Юнусабадский район, Юнусабад 15-й квартал",3,67 м²,1/4,Средний,Панельный,78 000 у.е.
152,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Айбека",2,65 м²,8/9,Евроремонт,Лифт,800 у.е./мес.
153,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район",2,63 м²,13/16,Евроремонт,Кирпичный,1 600 у.е./мес.
154,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район",2,63 м²,9/16,Лифт,Парковочное место,1 600 у.е./мес.
155,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Тараса Шевченко",3,70 м²,3/4,Евроремонт,Кирпичный,1 000 у.е./мес.
156,2-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",2,63.88 м²,9/9,Средний,Монолитный,45 000 у.е.
157,4-комнатная квартира в аренду,"город Ташкент, Яшнободский район",4,95 м²,8/8,Евроремонт,Кирпичный,1 600 у.е./мес.
158,3-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чупон-Ота",3,220 м²,3/3,,,128 000 у.е.
159,6+ комнатный частный дом на продажу,"город Ташкент, Яккасарайский район",6+,1.59 сот.,1.59 м²,Евроремонт,Кирпичный,180 000 у.е.
160,3-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Элобод",3,70 м²,2/5,Евроремонт,Кирпичный,1 100 у.е./мес.
161,3-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Чорсу",3,80 м²,3/6,Евроремонт,Кирпичный,1 200 у.е./мес.
162,2-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Нукус",2,92 м²,3/9,Евроремонт,Кирпичный,900 у.е./мес.
163,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули",2,52 м²,3/5,Кирпичный,Телефонная линия,500 у.е./мес.
164,1-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Шота Руставели",1,41 м²,4/5,Евроремонт,Кирпичный,600 у.е./мес.
165,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, жилой комплекс Greenwich",2,48 м²,7/9,Евроремонт,Кирпичный,1 000 у.е./мес.
166,1-комнатная квартира в аренду,"город Ташкент, Олмазорский район, Шифокорлар Шахарчаси",1,46 м²,8/9,Евроремонт,Кирпичный,600 у.е./мес.
167,3-комнатная квартира в аренду,"город Ташкент, Янгихаётский район",3,100 м²,2/4,Евроремонт,Кирпичный,1 000 у.е./мес.
168,2-комнатная квартира в аренду,"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",2,54 м²,3/4,Евроремонт,Холодильник,500 у.е./мес.
169,2-комнатная квартира в аренду,"город Ташкент, Яшнободский район",2,40 м²,1/5,Евроремонт,Кирпичный,400 у.е./мес.
170,2-комнатная квартира в аренду,"город Ташкент, Сергелийский район",2,50 м²,2/6,Черновая отделка,Кирпичный,450 у.е./мес.
171,2-комнатная квартира на продажу,"город Ташкент, Яккасарайский район, Богибустон",2,54 м²,2/9,Требует ремонта,Кирпичный,45 000 у.е.
172,Офис в аренду,"город Ташкент, Яшнободский район, Городок Авиастроителей 3-й квартал",2,50 м²,1/5,Средний,Кирпичный,700 у.е./мес.
173,4-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Хадра",4,98 м²,4/4,Евроремонт,Лифт,800 у.е./мес.
174,3-комнатная квартира на продажу,"город Ташкент, Олмазорский район",3,72 м²,3/5,Черновая отделка,Панельный,66 000 у.е.
175,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",2,37 м²,3/4,Евроремонт,Кирпичный,400 у.е./мес.
176,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",2,68 м²,6/10,Евроремонт,Панельный,800 у.е./мес.
177,2-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Бабура",2,54 м²,4/8,Евроремонт,Кирпичный,650 у.е./мес.
178,2-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Жарарик",2,50 м²,4/4,Черновая отделка,Кирпичный,56 000 у.е.
179,3-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Буз-1",3,110 м²,4/4,Средний,Телефонная линия,600 у.е./мес.
180,4-комнатная квартира в аренду,"город Ташкент, Чиланзарский район, Фурката",4,89 м²,3/10,Евроремонт,Панельный,1 500 у.е./мес.
181,1-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",1,45 м²,3/4,Черновая отделка,Другое,350 у.е./мес.
182,2-комнатная квартира на продажу,"город Ташкент, Яккасарайский район, Богибустон",2,50 м²,2/10,Требует ремонта,Кирпичный,45 000 у.е.
183,3-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Шумиловский городок",3,60 м²,7/9,Евроремонт,Кирпичный,650 у.е./мес.
184,2-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Лашкарбеги",2,49.3 м²,4/8,Евроремонт,Кирпичный,65 000 у.е.
185,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Мирабад",3,200 м²,3/5,Евроремонт,Кирпичный,1 500 у.е./мес.
