,name,adress,rooms,size,level,repair,wall,price
0,1-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",1,30 м²,1/4,Евроремонт,Кирпичный,450 у.е./мес.
1,3-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",3,75 м²,1/4,Черновая отделка,Кирпичный,600 у.е./мес.
2,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",2,45 м²,2/4,Евроремонт,Кирпичный,700 у.е./мес.
3,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район",2,60 м²,3/9,Евроремонт,Монолитный,800 у.е./мес.
4,3-комнатная квартира на продажу,"Ташкентская область, Янгиюльский район, Янгиюль",3,75 м²,3/4,Средний,Панельный,39 000 у.е.
5,3-комнатная квартира на продажу,"город Ташкент, Юнусабадский район, Юнусабад 2-й квартал",3,89 м²,5/8,Евроремонт,Кирпичный,105 000 у.е.
6,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район, Киркогайни",2,33 м²,2/4,Евроремонт,Панельный,400 у.е./мес.
7,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Янги Замон",2,55 м²,5/5,Евроремонт,Панельный,500 у.е./мес.
8,Офис в аренду,"город Ташкент, Мирзо-Улугбекский район",3,70 м²,1/9,Панельный,,2 200 у.е./мес.
9,3-комнатная квартира на продажу,"город Ташкент, Мирабадский район, Тараса Шевченко",3,56 м²,6/7,Евроремонт,Кирпичный,57 000 у.е.
10,6+ комнатный частный дом в аренду,"город Ташкент, Яккасарайский район, Конституция",6+,2 сот.,200 м²,Евроремонт,Кирпичный,1 600 у.е./мес.
11,3-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Иззат",3,76 м²,1/4,Черновая отделка,Холодильник,650 у.е./мес.
12,3-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Олтинтепа",3,54 м²,4/4,Черновая отделка,Кирпичный,62 000 у.е.
13,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Оккургон",2,65 м²,4/5,Евроремонт,Кирпичный,700 у.е./мес.
14,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Оккургон",2,60 м²,5/5,Евроремонт,Кирпичный,800 у.е./мес.
15,3-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Абдуллы Каххара",3,80 м²,15/16,Евроремонт,Кирпичный,1 100 у.е./мес.
16,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, ЦУМ",2,55 м²,3/9,Евроремонт,Кирпичный,800 у.е./мес.
17,4-комнатная квартира на продажу,"город Ташкент, Юнусабадский район, Юнусабад 2-й квартал",4,120 м²,5/7,Евроремонт,Кирпичный,156 000 у.е.
18,3-комнатная квартира на продажу,"город Ташкент, Яккасарайский район, Юнуса Раджаби",3,72 м²,33/50,Требует ремонта,Лифт,209 999 у.е.
19,Офис в аренду,"город Ташкент, Чиланзарский район, Ислама Каримова",4,310 м²,Кирпичный,Парковочное место,Водоснабжение,3 100 у.е./мес.
20,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Шахрисабз",2,55 м²,1/4,Евроремонт,Кирпичный,480 у.е./мес.
21,3-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Осиё",3,138 м²,3/7,Евроремонт,,2 200 у.е./мес.
22,Здание в аренду,"город Ташкент, Юнусабадский район",1 356 м²,Черновая отделка,Кирпичный,Видеонаблюдение,Водоснабжение,13 560 у.е./мес.
23,3-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район",3,69 м²,21/50,Требует ремонта,Другое,168 000 у.е.
24,3-комнатная квартира на продажу,"город Ташкент, Юнусабадский район, Минор",3,70 м²,2/4,Евроремонт,Кирпичный,105 000 у.е.
25,3-комнатная квартира в аренду,"город Ташкент, Сергелийский район, Сергели-VII",3,72 м²,3/9,Евроремонт,Кирпичный,549 у.е./мес.
26,Бизнес в аренду,"город Ташкент, Яккасарайский район, Шота Руставели",70 м²,Требует ремонта,Кирпичный,Водоснабжение,Канализация,1 000 у.е./мес.
27,3-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",3,110 м²,5/8,Евроремонт,Кирпичный,2 200 у.е./мес.
28,Бизнес в аренду,"город Ташкент, Мирабадский район, Тараса Шевченко",140 м²,Требует ремонта,Кирпичный,Водоснабжение,Канализация,2 800 у.е./мес.
29,Производство в аренду,"город Ташкент, Чиланзарский район",1 000 м²,1/2,Евроремонт,Кирпичный,Парковочное место,8 000 у.е./мес.
30,2-комнатная квартира на продажу,"город Ташкент, Яккасарайский район",2,64 м²,6/10,Требует ремонта,Кирпичный,65 000 у.е.
31,Склад в аренду,"город Ташкент, Олмазорский район",1 200 м²,Евроремонт,Панельный,Парковочное место,Газоснабжение,4 252.99 у.е./мес.
32,2-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Сайрам",2,58.5 м²,6/9,Требует ремонта,Кирпичный,61 529 у.е.
33,2-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Лабзак",2,55 м²,3/4,Евроремонт,Кирпичный,550 у.е./мес.
34,2-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, городской посёлок Улугбек",2,56 м²,8/9,Панельный,,36 500 у.е.
35,2-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Мукими",2,85 м²,4/8,Евроремонт,Кирпичный,1 700 у.е./мес.
36,Бизнес в аренду,"город Ташкент, Юнусабадский район, Кашкар",185 м²,Требует ремонта,Кирпичный,Водоснабжение,Канализация,4 625 у.е./мес.
37,Офис в аренду,"город Ташкент, Юнусабадский район, Кашкар",4,130 м²,2/9,Евроремонт,Кирпичный,2 990 у.е./мес.
38,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Нукус",2,65 м²,9/9,Черновая отделка,Панельный,400 у.е./мес.
39,Здание в аренду,"город Ташкент, Юнусабадский район",1 356 м²,Требует ремонта,Кирпичный,Телефонная линия,Спутниковое/кабельное ТВ,13 560 у.е./мес.
40,3-комнатная квартира на продажу,"город Ташкент, Яшнободский район, Паркент",3,80 м²,7/8,Евроремонт,Кирпичный,92 999 у.е.
41,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район",3,80 м²,4/4,Евроремонт,Кирпичный,1 000 у.е./мес.
42,4-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",4,92 м²,6/9,Панельный,Кондиционер,400 у.е./мес.
43,2-комнатная квартира на продажу,"город Ташкент, Яккасарайский район, Абдуллы Каххара",2,68 м²,13/16,Евроремонт,Монолитный,65 000 у.е.
44,3-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Жангох",3,75 м²,1/4,Евроремонт,Кирпичный,1 600 у.е./мес.
45,2-комнатная квартира на продажу,"город Ташкент, Юнусабадский район",2,52 м²,5/16,Евроремонт,Кирпичный,5 570 055 700 у.е.
46,2-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Паркент",2,67 м²,4/8,Требует ремонта,Кирпичный,67 000 у.е.
47,3-комнатная квартира в аренду,"город Ташкент, Юнусабадский район",3,127 м²,4/12,Евроремонт,Кирпичный,1 300 у.е./мес.
48,2-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, жилой комплекс Boulevard Международный деловой центр Tashkent City",2,75 м²,3/9,Евроремонт,Кирпичный,1 300 у.е./мес.
