,name,adress,rooms,size,level,repair,wall,price
0,3-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар-23",3,70 м²,1/5,Черновая отделка,Кирпичный,68 500 у.е.
1,3-комнатная квартира на продажу,"город Ташкент, Сергелийский район",3,60 м²,3/7,Средний,Кирпичный,59 500 у.е.
2,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Феруза-1",2,68 м²,2/4,Евроремонт,Панельный,300 у.е./мес.
3,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-5",2,63 м²,1/4,Евроремонт,Кирпичный,69 000 у.е.
4,1-комнатная квартира в аренду,"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",1,30 м²,2/4,Черновая отделка,Кирпичный,300 у.е./мес.
5,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Айбека",3,75 м²,7/9,Евроремонт,Панельный,900 у.е./мес.
6,1-комнатная квартира в аренду,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",1,30 м²,3/4,Евроремонт,Кирпичный,400 у.е./мес.
7,6+ комнатный частный дом в аренду,"город Ташкент, Мирзо-Улугбекский район, Элобод",6+,4 сот.,400 м²,Евроремонт,Кирпичный,5 000 у.е./мес.
8,Офис в аренду,"город Ташкент, Чиланзарский район",2,130 м²,1/9,Евроремонт,Кирпичный,1 300 у.е./мес.
9,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-7",2,50 м²,3/4,Черновая отделка,Панельный,53 000 у.е.
10,3-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",3,68 м²,4/4,Черновая отделка,Кирпичный,64 300 у.е.
11,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",2,48 м²,4/4,Панельный,Кондиционер,600 у.е./мес.
12,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-7",2,50 м²,3/4,Черновая отделка,Панельный,55 000 у.е.
13,3-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар-26",3,70 м²,2/5,Черновая отделка,Кирпичный,67 700 у.е.
14,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-3",2,50 м²,1/4,Черновая отделка,Панельный,56 500 у.е.
15,1-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, ц-13 Лабзак",1,50 м²,2/4,Евроремонт,Кирпичный,500 у.е./мес.
16,1-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар-11",1,35 м²,4/5,Черновая отделка,Панельный,43 999 у.е.
17,3-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",3,74 м²,3/4,Черновая отделка,Панельный,61 500 у.е.
18,1-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",1,35 м²,4/5,Черновая отделка,Панельный,44 000 у.е.
19,3-комнатная квартира на продажу,"город Ташкент, Яшнободский район",3,52 м²,1/2,Другое,,38 000 у.е.
20,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-9",2,52 м²,3/4,Кирпичный,,69 000 у.е.
21,1-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар-11",1,34 м²,4/5,Панельный,,43 000 у.е.
22,6+ комнатная квартира на продажу,"город Ташкент, Мирабадский район",6+,110 м²,3/9,Требует ремонта,Панельный,140 000 у.е.
23,2-комнатная квартира на продажу,"город Ташкент, Учтепинский район",2,50 м²,1/5,Черновая отделка,Кирпичный,51 500 у.е.
24,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,48 м²,4/4,Требует ремонта,Панельный,46 000 у.е.
25,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,48 м²,1/4,Черновая отделка,Панельный,51 000 у.е.
26,3-комнатная квартира на продажу,"город Ташкент, Юнусабадский район",3,115 м²,7/9,Черновая отделка,Телефонная линия,110 000 у.е.
27,3-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район",3,78 м²,5/9,Евроремонт,Панельный,5 750 000 у.е.
28,1-комнатная квартира в аренду,"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",1,30 м²,2/4,Евроремонт,Панельный,400 у.е./мес.
29,1-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",1,30 м²,3/4,Черновая отделка,Панельный,300 у.е./мес.
30,2-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар-15",2,48 м²,3/4,Черновая отделка,Кирпичный,55 500 у.е.
31,Бизнес в аренду,"город Ташкент, Яшнободский район",1,200 м²,,,,3 000 у.е./мес.
32,3-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",3,70 м²,2/4,Черновая отделка,Панельный,66 500 у.е.
33,1-комнатная квартира на продажу,"город Ташкент, Мирабадский район, Куйлюк 3-й квартал",1,38 м²,3/4,Евроремонт,Панельный,42 500 у.е.
34,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,60 м²,8/9,Средний,Монолитный,55 000 у.е.
35,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-3",2,48 м²,1/4,Черновая отделка,Панельный,55 999 у.е.
36,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",2,45 м²,4/4,Евроремонт,Панельный,700 у.е./мес.
37,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-9",2,56 м²,3/4,Евроремонт,Кирпичный,68 999 у.е.
38,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-3",2,50 м²,4/4,Черновая отделка,Панельный,51 999 у.е.
39,1-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-5",1,50 м²,9/12,Евроремонт,Монолитный,58 999 у.е.
