,name,adress,rooms,size,level,price,repair,wall
157,2-комнатная квартира на продажу,"город Ташкент, Юнусабадский район",2,54.9 м²,2/11,65 000 у.е.,Евроремонт,Кирпичный
158,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-7",2,50 м²,3/4,49 500 у.е.,Черновая отделка,Панельный
159,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,56 м²,4/4,51 999 у.е.,Черновая отделка,Кирпичный
160,1-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар-24",1,38 м²,4/5,38 999 у.е.,Черновая отделка,Кирпичный
161,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-5",2,76 м²,1/4,75 999 у.е.,Евроремонт,Кирпичный
162,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-7",2,50 м²,3/4,48 499 у.е.,Черновая отделка,Панельный
163,6+ комнатный частный дом на продажу,"город Ташкент, Мирзо-Улугбекский район",6+,6 сот.,360 м²,450 000 у.е.,Евроремонт,Кирпичный
164,2-комнатная квартира на продажу,"город Ташкент, Сергелийский район",2,45 м²,7/7,46 300 у.е.,Средний,Кирпичный
165,3-комнатная квартира на продажу,"город Ташкент, Сергелийский район",3,60 м²,7/7,54 000 у.е.,Средний,Кирпичный
166,1-комнатная квартира на продажу,"город Ташкент, Юнусабадский район, Юнусабад-19",1,35 м²,8/11,46 500 у.е.,Евроремонт,Другое
167,1-комнатная квартира на продажу,"город Ташкент, Яккасарайский район",1,45 м²,4/4,46 500 у.е.,Средний,Кирпичный
168,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,50 м²,1/4,55 600 у.е.,Евроремонт,Панельный
169,3-комнатная квартира на продажу,"город Ташкент, Сергелийский район",3,65 м²,3/7,58 000 у.е.,Средний,Кирпичный
170,1-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар-21",1,35 м²,4/4,36 550 у.е.,Черновая отделка,Панельный
171,2-комнатная квартира на продажу,"город Ташкент, Учтепинский район",2,50 м²,3/4,54 200 у.е.,Евроремонт,Панельный
172,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",2,50 м²,4/4,51 200 у.е.,Евроремонт,Панельный
173,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,50 м²,4/4,44 000 у.е.,Требует ремонта,Панельный
174,3-комнатная квартира на продажу,"город Ташкент, Яшнободский район",3,70 м²,3/4,58 500 у.е.,Средний,Кирпичный
175,2-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район",2,68 м²,3/10,99 500 у.е.,Евроремонт,Монолитный
176,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-7",2,50 м²,3/4,50 499 у.е.,Черновая отделка,Панельный
177,1-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",1,34 м²,4/4,36 900 у.е.,Черновая отделка,Панельный
178,3-комнатная квартира на продажу,"город Ташкент, Яшнободский район, Тузель 1-й квартал",3,91.61 м²,3/5,70 000 у.е.,Средний,Панельный
179,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-17",2,48 м²,3/4,48 000 у.е.,Требует ремонта,Панельный
180,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-17",2,50 м²,3/4,47 999 у.е.,Черновая отделка,Панельный
181,2-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар-14",2,50 м²,4/4,44 200 у.е.,Требует ремонта,Панельный
182,6+ комнатная квартира на продажу,"город Ташкент, Сергелийский район",6+,100 м²,1/2,75 000 у.е.,Евроремонт,Кирпичный
183,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-9",2,50 м²,4/4,50 999 у.е.,Евроремонт,Панельный
184,4-комнатная квартира на продажу,"город Ташкент, Мирабадский район, Нукус",4,140 м²,3/4,140 000 у.е.,Черновая отделка,Кирпичный
185,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-7",2,50 м²,3/4,53 999 у.е.,Евроремонт,Панельный
186,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",2,52 м²,1/4,450 у.е./мес.,Черновая отделка,Кирпичный
187,Бизнес на продажу,"город Ташкент, Янгихаётский район",26 м²,2/2,Черновая отделка,35 000 у.е.,Другое,Лифт
188,3-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",3,70 м²,1/4,58 000 у.е.,Средний,Панельный
189,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,50 м²,3/4,51 500 у.е.,Средний,Панельный
190,2-комнатная квартира в аренду,"Ферганская область, Фергана, Фергана",2,46 м²,1/4,10.95 у.е./сут.,Черновая отделка,Панельный
191,3-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",3,68 м²,4/5,57 000 у.е.,Средний,Кирпичный
192,3-комнатная квартира на продажу,"город Ташкент, Сергелийский район",3,55 м²,2/7,61 500 у.е.,Черновая отделка,Кирпичный
193,3-комнатная квартира на продажу,"город Ташкент, Яшнободский район",3,77 м²,2/8,68 500 у.е.,Евроремонт,Кирпичный
