,name,adress,rooms,size,level,repair,wall,price
0,1-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",1,33 м²,1/4,Евроремонт,Панельный,45 500 у.е.
1,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,52 м²,1/4,Евроремонт,Панельный,63 000 у.е.
2,3-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",3,74 м²,1/9,Евроремонт,Монолитный,98 000 у.е.
3,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,55 м²,5/9,Евроремонт,Монолитный,84 000 у.е.
4,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,45 м²,4/4,Евроремонт,Панельный,54 000 у.е.
5,4-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",4,80 м²,1/4,Телефонная линия,Кондиционер,800 у.е./мес.
6,3-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",3,70 м²,2/4,Евроремонт,Кирпичный,95 000 у.е.
7,2-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Самарканд Дарвоза",2,57 м²,9/12,Черновая отделка,Интернет,57 000 у.е.
8,6+ комнатный частный дом на продажу,"Ташкентская область, Бостанлыкский район",6+,16.5 сот.,300 м²,Черновая отделка,Кирпичный,60 000 у.е.
9,4-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Афросиаб",4,111 м²,14/16,Черновая отделка,Холодильник,600 у.е./мес.
10,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-8",2,50 м²,1/4,Черновая отделка,Панельный,50 000 у.е.
11,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",2,52 м²,2/4,Средний,Кирпичный,400 у.е./мес.
12,2-комнатная квартира в аренду,"город Ташкент, Сергелийский район, Сергели-V",2,65 м²,6/9,Черновая отделка,Панельный,400 у.е./мес.
13,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-1",2,54 м²,4/4,Черновая отделка,Кирпичный,60 000 у.е.
14,3-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-16",3,70 м²,2/4,Черновая отделка,Панельный,75 999 у.е.
15,2-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар-13",2,55 м²,3/4,Евроремонт,Панельный,55 777 у.е.
16,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-7",2,48 м²,2/4,Евроремонт,Панельный,56 700 у.е.
17,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-6",2,50 м²,4/4,Евроремонт,Панельный,60 500 у.е.
18,3-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-6",3,70 м²,1/4,Черновая отделка,Панельный,66 999 у.е.
19,2-комнатная квартира в аренду,"город Ташкент, Яшнободский район",2,60 м²,3/9,Евроремонт,Парковочное место,750 у.е./мес.
20,1-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-2",1,30 м²,4/4,Евроремонт,Панельный,41 555 у.е.
21,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-7",2,50 м²,2/4,Евроремонт,Панельный,55 999 у.е.
22,1-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",1,33 м²,4/4,Требует ремонта,Кирпичный,36 500 у.е.
23,6+ комнатный частный дом на продажу,"Джиззакская область, Джизак",6+,12 сот.,24 м²,Средний,Другое,180 000 у.е.
24,4-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район",4,105 м²,7/9,Евроремонт,Телефонная линия,120 000 у.е.
25,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район",2,60 м²,3/4,Евроремонт,Кирпичный,400 у.е./мес.
26,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",2,45 м²,4/4,Евроремонт,Панельный,500 у.е./мес.
27,1-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",1,38 м²,2/5,Черновая отделка,Панельный,350 у.е./мес.
