,name,adress,rooms,size,level,repair,wall,price
0,2-комнатная квартира на продажу,"город Ташкент, Учтепинский район, махалля Чупон-ота",2,40 м²,1/5,Средний,Кирпичный,300 у.е.
1,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, махалля Кичик Хирмонтепа",2,50 м²,1/4,Евроремонт,Панельный,57 500 у.е.
2,3-комнатная квартира в аренду,"город Ташкент, Сергелийский район, массив Сергели-VII, улица Мирзы Турсунзаде",3,83 м²,3/9,Авторский проект,Монолитный,500 у.е./мес.
3,1-комнатная квартира в аренду,"город Ташкент, Яшнободский район, махалля Чулпон, улица Махтумкули",1,40 м²,3/9,Евроремонт,Панельный,450 у.е./мес.
4,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район, махалля Салар, улица Тараса Шевченко",3,93 м²,7/9,Евроремонт,Панельный,1 000 у.е./мес.
5,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, махалля Салар, улица Тараса Шевченко",2,60 м²,3/4,Авторский проект,Кирпичный,1 200 у.е./мес.
6,2-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, массив Лабзак, улица Абая",2,50 м²,2/4,Евроремонт,Кирпичный,700 у.е./мес.
7,2-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, массив Киёт",2,40 м²,1/4,Евроремонт,Кирпичный,700 у.е./мес.
8,6+ комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Дархан, проспект Мустакиллик",6+,131 м²,5/6,Евроремонт,Кирпичный,206 000 у.е.
9,1-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, массив Киёт",1,40 м²,1/4,Евроремонт,Кирпичный,700 у.е./мес.
10,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, махалля Подшобог, улица Буюк Ипак Йули",2,50 м²,5/5,Евроремонт,Кирпичный,500 у.е./мес.
11,4-комнатная квартира на продажу,"город Ташкент, Яккасарайский район, махалля Дамарик, улица Кичик Бешагач",4,135 м²,5/9,Авторский проект,Кирпичный,201 000 у.е.
12,2-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, 1-й квартал, проспект Амира Темура",2,60 м²,7/9,Евроремонт,Панельный,550 у.е./мес.
13,1-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, массив Киёт",1,40 м²,4/4,Евроремонт,Кирпичный,650 у.е./мес.
14,3-комнатная квартира на продажу,"город Ташкент, Яккасарайский район, массив Башлык",3,75 м²,6/9,Средний,Панельный,73 000 у.е.
15,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, махалля Ойбек, улица Айбека",2,90 м²,7/9,Авторский проект,Кирпичный,1 000 у.е./мес.
16,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район, махалля Салар, улица Тараса Шевченко",3,75 м²,8/9,Евроремонт,Панельный,1 150 у.е./мес.
17,1-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, 8-й квартал",1,22 м²,2/5,Евроремонт,Кирпичный,37 000 у.е.
18,3-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, массив Олой",3,75 м²,7/9,Авторский проект,Панельный,1 000 у.е./мес.
19,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, 7-й квартал",2,50 м²,3/4,Средний,Панельный,53 300 у.е.
20,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район, махалля Салар, улица Тараса Шевченко",3,80 м²,8/9,Евроремонт,Панельный,1 200 у.е./мес.
21,2-комнатная квартира на продажу,"город Ташкент, Учтепинский район, 22-й квартал",2,54 м²,1/4,Средний,Кирпичный,55 500 у.е.
