adress,rooms,size,measure,level,repair,wall,price,status
 Шайхантахурский район,2,70.3,,2/8,Евроремонт,Кирпичный,1 500,аренду
 Мирзо-Улугбекский район,3,103.3,,6/8,Евроремонт,Кирпичный,800,аренду
 Мирабадский район,4,179.9,,6/7,Евроремонт,Кирпичный,1 600,аренду
 Юнусабадский район,4,110.9,,5/5,Евроремонт,Кирпичный,1 500,аренду
 Шайхантахурский район,3,110,,2/9,Евроремонт,Кирпичный,2 200,аренду
 Чиланзарский район,2,50,,6/9,Лифт,Холодильник,365,аренду
 Яшнободский район,2,50,,5/8,Евроремонт,Кирпичный,400,аренду
 Шайхантахурский район,3,70,,1/5,Телефонная линия,Кондиционер,600,аренду
 Мирабадский район,4,100,,4/4,Телефонная линия,Кондиционер,900,аренду
 Мирабадский район,2,60,,3/9,Евроремонт,Монолитный,1 200,аренду
 Мирзо-Улугбекский район,3,95.5,,1/7,Евроремонт,Кирпичный,1 000,аренду
 Юнусабадский район,3,50,,3/4,Евроремонт,Кирпичный,860 000,аренду
 Шайхантахурский район,1,50,,3/5,Панельный,Телефонная линия,450,аренду
 Мирабадский район,2,59,,2/4, , ,800,аренду
 Сергелийский район,2,40,,2/9,Евроремонт,Кирпичный,300,аренду
 Мирабадский район,2,46,,5/6, , ,1 000,аренду
 Мирабадский район,2,60,,6/6, , ,1 100,аренду
 Мирзо-Улугбекский район,2,60,,8/8, , ,1 200,аренду
 Чиланзарский район,2,65,,3/8, , ,1 000,аренду
 Яккасарайский район,2,50,,4/9, , ,550,аренду
 Мирзо-Улугбекский район,3,65,,5/5,Евроремонт,Кирпичный,500,аренду
 Мирзо-Улугбекский район,2,65,,7/10, , ,1 300,аренду
 Яккасарайский район,3,90,,1/4, , ,800,аренду
 Мирзо-Улугбекский район,2,45,,4/21, , ,800,аренду
 Мирзо-Улугбекский район,1,37,,1/4, , ,600,аренду
 Мирзо-Улугбекский район,1,40,,1/4,Средний,Кирпичный,400,аренду
 Яккасарайский район,2,70,,3/5,Евроремонт,Кирпичный,850,аренду
 Мирабадский район,3,80,,4/8,Евроремонт,Кирпичный,1 200,аренду
 Яккасарайский район,3,70,,5/8,Евроремонт, ,1 500,аренду
 Мирзо-Улугбекский район,4,115,,5/9,Евроремонт, ,1 800,аренду
 Яшнободский район,3,85,,4/5,Черновая отделка, ,750,аренду
 Яккасарайский район,3,100,,7/9,Черновая отделка,Панельный,1 000,аренду
 Олмазорский район,3,80,,3/4,Черновая отделка,Кирпичный,450,аренду
 Шайхантахурский район,2,58,,5/7,Евроремонт,Холодильник,1 700,аренду
 Мирзо-Улугбекский район,3,95,,1/4,Евроремонт, ,1 100,аренду
 Мирабадский район,3,95,,3/4,Евроремонт, ,850,аренду
 Мирабадский район,2,60,,3/9,Евроремонт,Панельный,1 500,аренду
 Яшнободский район,2,50,,5/9,Черновая отделка,Кирпичный,550,аренду
 Юнусабадский район,1,36,,5/7,Евроремонт,Кирпичный,550,аренду
 Учтепинский район,3,60,,3/5,Черновая отделка,Кирпичный,500,аренду
 Шайхантахурский район,2,58,,5/7,Евроремонт,Лифт,1 700,аренду
 Яккасарайский район,1,56,,3/9,Евроремонт,Кирпичный,1 100,аренду
 Шайхантахурский район,1,45,,1/8,Евроремонт, ,1 100,аренду
 Яккасарайский район,2,60,,3/8,Евроремонт,Кирпичный,1 000,аренду
 Мирзо-Улугбекский район,2,55,,15/21,Евроремонт,Кирпичный,1 300,аренду
 Яккасарайский район,2,65,,3/8,Евроремонт, ,1 000,аренду
 Юнусабадский район,3,70,,7/9,Евроремонт, ,650,аренду
 Мирзо-Улугбекский район,2,60,,8/8,Евроремонт, ,1 200,аренду
 Мирзо-Улугбекский район,2,45,,8/8,Евроремонт, ,1 000,аренду
 Юнусабадский район,2,60,,5/9,Средний,Холодильник,500,аренду
 Мирабадский район,3,130,,2/8,Евроремонт,Кирпичный,1 500,аренду
 Мирзо-Улугбекский район,2,45,,8/8,Евроремонт,Кирпичный,1 000,аренду
 Юнусабадский район,3,62,,1/4,Средний,Кирпичный,1 100,аренду
 Мирабадский район,3,76,,2/4,Евроремонт,Кирпичный,1 500,аренду
 Мирабадский район,2,62,,3/9,Евроремонт,Панельный,1 200,аренду
 Мирзо-Улугбекский район,2,60,,6/9,Евроремонт,Панельный,1 200,аренду
 Мирзо-Улугбекский район,2,60,,2/4,Евроремонт,Кирпичный,600,аренду
 Чиланзарский район,6+,750,,1/3,Евроремонт,Кирпичный,10 000,аренду
 Чиланзарский район,3,60,,2/4,Евроремонт,Панельный,700,аренду
 Мирзо-Улугбекский район,3,100,,20/25,Средний,Монолитный,500,аренду
 Чиланзарский район,3,68,,2/4,Евроремонт,Панельный,700,аренду
 Мирабадский район,4,155,,6/9,Евроремонт,Кирпичный,1 600,аренду
 Яккасарайский район,2,46,,3/3,Средний,Кирпичный,360,аренду
 Яшнободский район,2,53,,9/9,Евроремонт,Кирпичный,700,аренду
 Чиланзарский район,1,30,,3/5,Средний,Кирпичный,370,аренду
 Шайхантахурский район,2,55,,2/4,Евроремонт,Кирпичный,600,аренду
 Олмазорский район,3,80,,8/9,Евроремонт,Монолитный,750,аренду
 Юнусабадский район,2,55,,6/9,Евроремонт,Кирпичный,800,аренду
 Мирзо-Улугбекский район,2,55,,6/9,Евроремонт,Кирпичный,800,аренду
 Чиланзарский район,2,48,,4/4,Евроремонт,Панельный,600,аренду
 Мирабадский район,2,55,,5/8,Евроремонт,Кирпичный,750,аренду
 Чиланзарский район,3,70,,5/5,Холодильник,Газоснабжение,500,аренду
 Яккасарайский район,6+,300,,1/2,Евроремонт,Кирпичный,3 500,аренду
 Шайхантахурский район,2,70,,2/9,Лифт,Телефонная линия,500,аренду
 Олмазорский район,2,70,,7/9,Средний,Кирпичный,800,аренду
 Мирабадский район,2,78,,2/4,Евроремонт,Кирпичный,750,аренду
 Мирабадский район,3,80,,3/4,Евроремонт,Кирпичный,1 100,аренду
 Яшнободский район,3,60,,7/9,Лифт,Парковочное место,700,аренду
 Чиланзарский район,2,55,,1/5,Канализация,Мебель,700,аренду
 Чиланзарский район,2,50,,1/4,Газоснабжение,Канализация,650,аренду
 Чиланзарский район,2,50,,4/4,Холодильник,Газоснабжение,700,аренду
 Чиланзарский район,1,33,,2/4,Средний,Панельный,350,аренду
 Учтепинский район,3,70,,2/9,Лифт,Телефонная линия,600,аренду
 Олмазорский район,1,36,,9/9,Евроремонт,Кирпичный,400,аренду
 Олмазорский район,1,36,,9/9,Евроремонт,Кирпичный,400,аренду
 Мирзо-Улугбекский район,2,50,,4/4,Евроремонт,Панельный,400,аренду
 Чиланзарский район,3,70,,1/5,Средний,Кирпичный,600,аренду
 Чиланзарский район,2,45,,5/5,Средний,Панельный,500,аренду
 Чиланзарский район,2,45,,3/4,Евроремонт,Панельный,500,аренду
 Учтепинский район,2,65,,4/4,Средний,Панельный,600,аренду
 Чиланзарский район,1,23,,1/9,Евроремонт,Монолитный,300,аренду
 Чиланзарский район,2,100,,1/9,Средний,Монолитный,700,аренду
 Чиланзарский район,1,30,,3/4,Средний,Кирпичный,450,аренду
 Чиланзарский район,1,30,,3/4,Черновая отделка,Панельный,350,аренду
 Яшнободский район,3,72,,2/9,Евроремонт,Панельный,850,аренду
 Чиланзарский район,1,30,,3/4,Евроремонт,Кирпичный,450,аренду
 Юнусабадский район,2,187,,1/9,Интернет,Видеонаблюдение,3 366,аренду
 Шайхантахурский район,1,45,,3/4,Евроремонт,Кирпичный,500,аренду
 Мирабадский район,1,42,,6/9,Евроремонт,Кирпичный,650,аренду
 Мирабадский район,1,42,,6/9,Евроремонт,Кирпичный,650,аренду
 Чиланзарский район,2,44,,1/4,Евроремонт,Панельный,600,аренду
 Учтепинский район,1,40,,4/4,Средний,Панельный,280,аренду
 Юнусабадский район,1,40,,8/13,Лифт,Холодильник,600,аренду
 Шайхантахурский район,1,50,,5/12,Газоснабжение,Канализация,400,аренду
 Яккасарайский район,4,90,,5/5,Телефонная линия,Кондиционер,920,аренду
 Яккасарайский район,1,50,,6/9,Лифт,Парковочное место,650,аренду
 Чиланзарский район,3,70,,2/4,Телефонная линия,Кондиционер,400,аренду
 Яшнободский район,2,50,,1/9,Парковочное место,Холодильник,700,аренду
 Яшнободский район,1,40,,4/9,Телефонная линия,Парковочное место,550,аренду
 Мирабадский район,2,70,,5/5,Евроремонт,Кирпичный,800,аренду
 Чиланзарский район,2,50,,1/5,Телефонная линия,Парковочное место,430,аренду
 Мирабадский район,3,125,,4/12,Евроремонт,Другое,900,аренду
 Чиланзарский район,1,30,,2/4,Черновая отделка,Кирпичный,300,аренду
 Чиланзарский район,1,30,,4/4,Черновая отделка,Кирпичный,350,аренду
 Чиланзарский район,1,30,,4/4,Евроремонт,Кирпичный,400,аренду
 Чиланзарский район,1,30,,2/4,Черновая отделка,Кирпичный,300,аренду
 Юнусабадский район,4,69,,3/9,Евроремонт,Лифт,350,аренду
 Чиланзарский район,1,30,,3/4,Евроремонт,Кирпичный,400,аренду
 Мирабадский район,2,2 сот.,,53 м²,Евроремонт,Кирпичный,1 000,аренду
 Яккасарайский район,3,90,,5/16,Евроремонт,Монолитный,1 300,аренду
 Яккасарайский район,3,90,,5/16,Евроремонт,Монолитный,1 300,аренду
 Янгихаётский район,2,75,,2/9,Евроремонт,Кирпичный,400,аренду
 Мирзо-Улугбекский район,3,65,,4/5,Евроремонт,Холодильник,800,аренду
 Юнусабадский район,1,50,,6/9,Черновая отделка,Панельный,600,аренду
 Мирзо-Улугбекский район,2,60,,2/9,Черновая отделка,Водоснабжение,400,аренду
 Яккасарайский район,3,70,,1/4,Черновая отделка,Кирпичный,950,аренду
 Мирзо-Улугбекский район,2,48,,3/4,Евроремонт,Панельный,450,аренду
 Чиланзарский район,360 м²,Черновая отделка,,Интернет,Парковочное место, ,5 040,аренду
 Яккасарайский район,2,50,,4/5,Средний,Кирпичный,400,аренду
 Мирабадский район,2,50,,4/9,Евроремонт,Панельный,550,аренду
 Шайхантахурский район,3,75,,3/9,Евроремонт, ,1 100,аренду
 Яшнободский район,2,54,,1/5,Евроремонт,Кирпичный,700,аренду
 Яккасарайский район,1,40,,3/4,Евроремонт, ,450,аренду
 Яшнободский район,3,75,,1/5,Евроремонт, ,1 000,аренду
 Шайхантахурский район,2,45,,4/21,Евроремонт, ,1 000,аренду
 Мирзо-Улугбекский район,2,65,,4/10,Евроремонт,Монолитный,1 300,аренду
 Яккасарайский район,2,73,,6/8,Евроремонт, ,1 200,аренду
 Мирабадский район,3,75,,5/8,Евроремонт, ,1 200,аренду
 Яшнободский район,3,75,,4/9,Евроремонт, ,500,аренду
 Мирзо-Улугбекский район,2,45,,4/21,Евроремонт,Монолитный,800,аренду
 Чиланзарский район,3,80,,3/4,Средний,Кирпичный,650,аренду
 Юнусабадский район,2,46,,3/5,Евроремонт,Панельный,600,аренду
 Шайхантахурский район,2,50,,8/12,Евроремонт,Панельный,400,аренду
 Мирзо-Улугбекский район,1,43,,2/5,Евроремонт,Панельный,450,аренду
 Учтепинский район,2,45,,4/4,Черновая отделка,Панельный,350,аренду
 Мирзо-Улугбекский район,6+,3 сот.,,300 м²,Евроремонт,Кирпичный,3 000,аренду
 Учтепинский район,2,56,,3/4,Черновая отделка,Кирпичный,306.61,аренду
 Мирабадский район,2,65,,3/4,Евроремонт,Кирпичный,600,аренду
 Чиланзарский район,2,52,,3/4,Черновая отделка,Кирпичный,500,аренду
 Янгихаётский район,2,13 сот.,,25 м²,Телевизор,Водоснабжение,111,аренду
 Яккасарайский район,3,80,,1/9,Евроремонт,Кирпичный,900,аренду
 Мирзо-Улугбекский район,3,70,,4/5,Евроремонт,Кирпичный,800,аренду
 Яккасарайский район,1,50,,5/6,Евроремонт,Кирпичный,900,аренду
 Юнусабадский район,2,60,,10/12,Евроремонт,Кирпичный,1 000,аренду
 Юнусабадский район,3,105,,6/9,Евроремонт,Кирпичный,1 200,аренду
 Мирзо-Улугбекский район,2,50,,8/8,Евроремонт,Кирпичный,1 300,аренду
 Мирзо-Улугбекский район,2,50,,8/8,Евроремонт,Кирпичный,1 200,аренду
 Юнусабадский район,3,120,,5/8,Евроремонт,Кирпичный,2 400,аренду
 Учтепинский район,2,50,,1/5,Черновая отделка,Панельный,300,аренду
 Чиланзарский район,2,50,,1/4,Средний,Панельный,400,аренду
 Яшнободский район,1,40,,4/9, , ,550,аренду
 Чиланзарский район,6+,170,,1/4,Средний,Кирпичный,2 000,аренду
 Яккасарайский район,2,65,,4/4,Евроремонт,Кирпичный,1 000,аренду
 Мирабадский район,1,46.51,,3/5,Евроремонт,Кирпичный,800,аренду
 Яккасарайский район,2,58,,4/5,Евроремонт,Кирпичный,650,аренду
 Чиланзарский район,2,35,,2/4,Черновая отделка,Панельный,255,аренду
 Юнусабадский район,4,98,,1/8,Евроремонт,Кирпичный,550,аренду
 Яшнободский район,3,67,,4/4,Средний,Панельный,370,аренду
 Мирзо-Улугбекский район,2,50,,6/9,Холодильник,Газоснабжение,800,аренду
 Яккасарайский район,3,70,,4/5,Телефонная линия,Холодильник,600,аренду
 Мирабадский район,3,75,,8/9,Евроремонт,Панельный,1 200,аренду
 Юнусабадский район,2,50,,5/9,Лифт,Телефонная линия,550,аренду
 Мирзо-Улугбекский район,3,75,,2/4,Евроремонт,Кирпичный,2 000,аренду
 Яккасарайский район,3,70,,6/9,Холодильник,Телефонная линия,450,аренду
 Яккасарайский район,2,50,,5/5,Телефонная линия,Холодильник,500,аренду
 Яккасарайский район,1,40,,4/5,Средний,Панельный,400,аренду
 Мирзо-Улугбекский район,2,45,,8/8,Евроремонт,Холодильник,1 300,аренду
 Мирабадский район,2,60,,1/2,Евроремонт,Телевизор,500,аренду
 Мирзо-Улугбекский район,1,45,,2/4,Евроремонт,Кирпичный,800,аренду
 Чиланзарский район,4,55,,4/7,Евроремонт,Кирпичный,800,аренду
 Чиланзарский район,3,74,,1/9,Евроремонт,Кирпичный,1 000,аренду
 Чиланзарский район,2,60,,1/9,Евроремонт,Кирпичный,800,аренду
 Чиланзарский район,1,28,,4/4,Евроремонт,Кирпичный,450,аренду
 Яшнободский район,2,70,,7/9,Евроремонт,Кирпичный,700,аренду
 Чиланзарский район,1,30,,3/4,Черновая отделка,Панельный,350,аренду
 Чиланзарский район,2,50,,Евроремонт,Кирпичный,Водоснабжение,400,аренду
 Мирабадский район,2,68,,1/9,Евроремонт,Панельный,650,аренду
 Мирабадский район,2,56,,2/4,Кирпичный,Телефонная линия,700,аренду
 Мирабадский район,3,65,,1/4,Средний,Кирпичный,700,аренду
 Мирзо-Улугбекский район,2,55,,3/4, , ,750,аренду
 Мирзо-Улугбекский район,2,72,,5/9, , ,750,аренду
 Мирабадский район,2,65,,6/9, , ,745,аренду
 Юнусабадский район,2,55,,3/4, , ,600,аренду
 Мирабадский район,2,60,,6/6, , ,1 100,аренду
 Мирзо-Улугбекский район,3,100,,5/8, , ,1 500,аренду
 Яккасарайский район,3,85,,2/8, , ,1 200,аренду
 Мирабадский район,2,75,,5/9, , ,1 000,аренду
 Юнусабадский район,1,42,,2/4,Евроремонт,Кирпичный,500,аренду
 Чиланзарский район,1,30,,4/4,Евроремонт,Кирпичный,450,аренду
 Чиланзарский район,2,55,,2/4,Евроремонт,Мебель,700,аренду
 Чиланзарский район,3,68,,2/4,Черновая отделка,Панельный,400,аренду
 Чиланзарский район,4,60,,4/4,Евроремонт,Кирпичный,900,аренду
 Яккасарайский район,2,86,,4/8,Евроремонт,Лифт,800,аренду
 Мирабадский район,2,75,,3/9,Евроремонт,Лифт,700,аренду
 Шайхантахурский район,2,65,,4/5,Евроремонт,Кирпичный,1 400,аренду
 Чиланзарский район,2,56,,1/4,Евроремонт,Кирпичный,700,аренду
 Чиланзарский район,2,56,,1/4,Евроремонт,Кирпичный,700,аренду
 Яшнободский район,2,50,,4/4,Черновая отделка,Кирпичный,900,аренду
 Чиланзарский район,1,35,,5/5,Средний,Панельный,350,аренду
 Мирабадский район,2,60,,4/4,Лифт,Телефонная линия,800,аренду
 Чиланзарский район,1,35,,3/5,Евроремонт,Кирпичный,500,аренду
 Мирабадский район,2,62,,5/9,Евроремонт,Парковочное место,750,аренду
 Яшнободский район,1,38,,9/9,Телефонная линия,Кондиционер,600,аренду
 Яшнободский район,3,72,,3/3,Евроремонт,Кирпичный,600,аренду
 Юнусабадский район,1,40,,8/13,Евроремонт,Кирпичный,600,аренду
 Яккасарайский район,2,50,,6/9,Евроремонт,Кирпичный,850,аренду
 Яшнободский район,3,86.88,,1/4,Евроремонт,Кирпичный,700.83,аренду
 Шайхантахурский район,3,100,,7/7,Евроремонт,Кирпичный,4 200,аренду
 Чиланзарский район,2,48,,3/5,Панельный, ,500,аренду
 Чиланзарский район,1,30,,3/4,Средний,Панельный,350,аренду
 Мирзо-Улугбекский район,1,36,,5/5,Евроремонт,Кирпичный,400,аренду
 Мирзо-Улугбекский район,2,90,,3/4,Черновая отделка,Кирпичный,600,аренду
 Чиланзарский район,2,45,,1/4,Евроремонт,Панельный,600,аренду
 Юнусабадский район,6+,619.11,,5/5,Средний,Монолитный,12 474.35,аренду
 Мирабадский район,2,50,,4/4,Евроремонт,Кирпичный,550,аренду
 Чиланзарский район,1,34,,3/4,Черновая отделка,Панельный,250,аренду
 Мирзо-Улугбекский район,3,75,,7/9, , ,950,аренду
 Чиланзарский район,6+,75,,2/5,Евроремонт,Панельный,500,аренду
 Чиланзарский район,1,33,,2/4,Черновая отделка,Панельный,350,аренду
 Учтепинский район,2,50,,2/5,Кондиционер,Телевизор,500,аренду
 Чиланзарский район,2,47,,4/4,Средний,Панельный,500,аренду
 Чиланзарский район,1,47,,4/12,Евроремонт,Монолитный,500,аренду
 Яшнободский район,2,70,,7/9,Черновая отделка,Монолитный,800,аренду
 Учтепинский район,2,47,,2/5,Евроремонт,Кирпичный,500,аренду
 Чиланзарский район,3,65,,4/4, , ,400,аренду
 Шайхантахурский район,3,83,,3/3,Средний,Кирпичный,800,аренду
 Мирзо-Улугбекский район,3,70,,11/16,Парковочное место,Холодильник,1 000,аренду
 Яккасарайский район,1,20,,5/6,Средний,Кирпичный,183.97,аренду
 Яккасарайский район,2,50,,2/7,Телефонная линия,Парковочное место,1 000,аренду
 Шайхантахурский район,3,85,,4/5,Черновая отделка,Кирпичный,700,аренду
 Яккасарайский район,4,3.5 сот.,,200 м²,Парковочное место,Телефонная линия,1 000,аренду
 Мирабадский район,2,1 сот.,,70 м²,Парковочное место,Холодильник,850,аренду
 Юнусабадский район,3,70,,2/4,Телефонная линия,Кондиционер,650,аренду
 Учтепинский район,6+,85,,2/4,Кирпичный, ,500,аренду
 Чиланзарский район,2,45,,2/4,Евроремонт,Кирпичный,700,аренду
 Чиланзарский район,2,45,,4/4,Евроремонт,Кирпичный,700,аренду
 Яккасарайский район,2,50,,11/12,Евроремонт,Лифт,1 500,аренду
 Мирабадский район,2,60,,7/9,Средний,Лифт,700,аренду
 Чиланзарский район,1,56,,4/12,Евроремонт,Монолитный,500,аренду
 Чиланзарский район,4,65,,4/4,Евроремонт,Кирпичный,900,аренду
 Шайхантахурский район,1,35,,3/4,Панельный, ,270,аренду
 Мирабадский район,3,75,,3/9,Евроремонт,Панельный,700,аренду
 Бектемирский район,1,42,,1/4,Евроремонт,Парковочное место,350,аренду
 Юнусабадский район,1,30,,1/4,Евроремонт,Кирпичный,450,аренду
 Юнусабадский район,1,30,,1/4,Евроремонт,Кирпичный,450,аренду
 Мирзо-Улугбекский район,2,45,,4/4,Средний,Лифт,500,аренду
 Мирзо-Улугбекский район,1,45,,3/4,Средний,Парковочное место,700,аренду
 Мирзо-Улугбекский район,2,48,,2/3,Средний,Парковочное место,800,аренду
 Мирабадский район,2,40,,2/4,Евроремонт,Лифт,750,аренду
 Юнусабадский район,3,78,,3/5,Средний,Телефонная линия,650,аренду
 Яккасарайский район,2,73,,6/8,Евроремонт,Кирпичный,1 200,аренду
 Мирзо-Улугбекский район,3,88,,3/9,Евроремонт,Парковочное место,1 400,аренду
 Юнусабадский район,3,75,,1/4,Евроремонт,Кирпичный,700,аренду
 Мирзо-Улугбекский район,6+,3.5 сот.,,200 м²,Телефонная линия,Парковочное место,5 000,аренду
 Мирабадский район,4,386,,5/7,Евроремонт,Кирпичный,6 562,аренду
 Чиланзарский район,3,64,,3/4,Панельный, ,600,аренду
 Юнусабадский район,3,70,,11/13,Лифт,Парковочное место,700,аренду
 Яккасарайский район,3,65,,1/9,Евроремонт,Панельный,1 200,аренду
 Мирабадский район,3,86,,5/7,Евроремонт,Кирпичный,1 462,аренду
 Чиланзарский район,2,50,,1/4,Телефонная линия,Парковочное место,500,аренду
 Мирзо-Улугбекский район,2,50,,5/5,Парковочное место,Телефонная линия,600,аренду
 Чиланзарский район,2,50,,1/7,Лифт,Парковочное место,500,аренду
 Мирабадский район,3,75,,5/8,Евроремонт,Кирпичный,1 200,аренду
 Мирабадский район,2,50,,3/9,Лифт,Телефонная линия,700,аренду
 Мирабадский район,4,100,,4/9,Евроремонт,Панельный,1 000,аренду
 Мирабадский район,2,58,,4/9,Черновая отделка,Панельный,600,аренду
 Яккасарайский район,3,100,,2/4,Евроремонт,Кирпичный,1 000,аренду
 Яккасарайский район,3,85,,2/8,Евроремонт,Кирпичный,1 200,аренду
 Шайхантахурский район,3,100,,5/8,Евроремонт,Кирпичный,1 500,аренду
 Чиланзарский район,2,56,,4/4,Черновая отделка,Кирпичный,400,аренду
 Чиланзарский район,1,30,,2/4,Евроремонт,Кирпичный,400,аренду
 Чиланзарский район,1,56,,4/12,Евроремонт,Монолитный,500,аренду
 Сергелийский район,3,85,,8/12,Черновая отделка,Другое,6 800 000,аренду
 Юнусабадский район,2,55,,4/4,Черновая отделка,Кирпичный,400,аренду
 Мирзо-Улугбекский район,2,60,,3/9,Евроремонт,Панельный,800,аренду
 Олмазорский район,4,80,,1/5,Евроремонт,Панельный,450,аренду
 Чиланзарский район,1,30,,4/4,Черновая отделка,Кирпичный,350,аренду
 Шайхантахурский район,2,56,,3/12,Средний,Монолитный,450,аренду
 Шайхантахурский район,2,56,,3/12,Средний,Монолитный,450,аренду
 Мирзо-Улугбекский район,6+,160,,1/9,Евроремонт,Кирпичный,3 000,аренду
 Мирзо-Улугбекский район,3,70,,5/5,Евроремонт,Кондиционер,700,аренду
 Шайхантахурский район,3,105,,4/7,Евроремонт,Кирпичный,2 500,аренду
 Юнусабадский район,2,50,,5/9,Лифт,Телефонная линия,1 500,аренду
 Чиланзарский район,1,34,,3/4,Черновая отделка,Панельный,270,аренду
 Юнусабадский район,6+,3 сот.,,199 м²,Евроремонт, ,1 500,аренду
 Яшнободский район,3,80,,1/9,Евроремонт,Кирпичный,1 200,аренду
 Чиланзарский район,2,42,,2/4,Евроремонт,Кирпичный,1 000,аренду
 Чиланзарский район,2,60,,5/9,Черновая отделка,Монолитный,300,аренду
 Чиланзарский район,2,46,,1/4,Евроремонт,Панельный,650,аренду
 Чиланзарский район,2,52,,4/9,Евроремонт,Кирпичный,800,аренду
 Яккасарайский район,1,35,,3/5,Евроремонт,Кирпичный,450,аренду
 Чиланзарский район,2,60,,1/4,Евроремонт,Кирпичный,600,аренду
 Чиланзарский район,1,33,,2/4,Средний,Панельный,350,аренду
 Чиланзарский район,2,48,,4/4,Евроремонт,Панельный,500,аренду
 Мирабадский район,4,110,,3/9,Евроремонт,Панельный,1 300,аренду
 Чиланзарский район,3,67,,3/4,Евроремонт,Кирпичный,500,аренду
 Чиланзарский район,2,60,,1/8,Черновая отделка,Монолитный,500,аренду
 Яккасарайский район,1,33,,3/4,Евроремонт,Кирпичный,450,аренду
 Яккасарайский район,1,30,,3/5,Евроремонт,Кирпичный,450,аренду
 Чиланзарский район,3,74,,1/9,Евроремонт,Кирпичный,1 000,аренду
 Чиланзарский район,2,55,,4/7,Евроремонт,Кирпичный,800,аренду
 Чиланзарский район,3,100,,2/4,Евроремонт,Кирпичный,500,аренду
 Чиланзарский район,2,45,,2/4,Евроремонт,Кирпичный,500,аренду
 Чиланзарский район,2,60,,1/9,Евроремонт,Кирпичный,800,аренду
 Чиланзарский район,45 м²,Парковочное место,,Водоснабжение,Канализация,Газоснабжение,800,аренду
 Чиланзарский район,2,4,,4/4,Черновая отделка,Кирпичный,500,аренду
 Яшнободский район,3,78,,4/4,Лифт,Парковочное место,700,аренду
 Чиланзарский район,2,42,,2/4,Черновая отделка,Панельный,350,аренду
 Чиланзарский район,1,27,,2/5,Средний,Кирпичный,450,аренду
 Чиланзарский район,2,45,,1/4,Евроремонт,Кирпичный,400,аренду
 Чиланзарский район,2,55,,1/9,Евроремонт,Кирпичный,500,аренду
 Чиланзарский район,2,60,,1/4,Евроремонт,Кирпичный,600,аренду
 Чиланзарский район,1,30,,1/4,Средний,Кирпичный,350,аренду
 Чиланзарский район,2,60,,5/9,Евроремонт,Кирпичный,800,аренду
 Чиланзарский район,1,30,,3/4,Средний,Панельный,500,аренду
 Чиланзарский район,2,60,,1/9,Евроремонт,Кирпичный,800,аренду
 Чиланзарский район,3,74,,1/9,Евроремонт,Кирпичный,1 000,аренду
 Чиланзарский район,2,60,,4/7,Евроремонт,Кирпичный,800,аренду
 Чиланзарский район,2,50,,4/7,Евроремонт,Кирпичный,700,аренду
 Чиланзарский район,1,42,,1/7,Евроремонт,Кирпичный,600,аренду
 Чиланзарский район,6+,85,,2/4,Средний,Телевизор,500,аренду
 Яккасарайский район,2,55,,4/4,Евроремонт,Кирпичный,400,аренду
 Чиланзарский район,2,47,,4/4,Евроремонт,Панельный,500,аренду
 Чиланзарский район,2,50,,4/4,Средний,Панельный,450,аренду
 Чиланзарский район,2,47,,2/4,Средний,Панельный,350,аренду
 Чиланзарский район,3,74,,1/9,Евроремонт,Кирпичный,1 000,аренду
 Чиланзарский район,2,50,,1/4,Средний,Панельный,400,аренду
 Чиланзарский район,2,45,,3/4,Панельный, ,350,аренду
 Чиланзарский район,2,45,,1/9,Евроремонт,Кирпичный,500,аренду
 Чиланзарский район,1,29,,1/4,Кирпичный, ,350,аренду
 Чиланзарский район,2,60,,1/9,Средний,Кирпичный,500,аренду
 Чиланзарский район,1,40,,4/5,Средний,Кирпичный,300,аренду
 Чиланзарский район,1,40,,4/5,Средний,Кирпичный,300,аренду
 Чиланзарский район,2,60,,2/4,Евроремонт,Кирпичный,600,аренду
 Мирзо-Улугбекский район,3,65,,9/9,Евроремонт,Кирпичный,900,аренду
 Юнусабадский район,4,225,,7/8,Евроремонт,Кирпичный,3 500,аренду
 Мирабадский район,3,200,,2/6,Евроремонт,Кирпичный,1 300,аренду
 Яшнободский район,3,80,,2/9,Евроремонт,Кирпичный,900,аренду
 Яшнободский район,4,150,,6/7,Евроремонт,Кирпичный,1 800,аренду
 Мирабадский район,3,150,,5/6,Евроремонт,Кирпичный,2 700,аренду
 Мирзо-Улугбекский район,3,150,,4/7,Евроремонт,Кирпичный,2 200,аренду
 Яккасарайский район,4,125,,4/8,Евроремонт,Кирпичный,1 300,аренду
 Мирабадский район,4,100,,3/6,Евроремонт,Кирпичный,800,аренду
 Юнусабадский район,2,65,,4/6,Евроремонт,Кирпичный,1 200,аренду
 Шайхантахурский район,3,85,,6/8,Евроремонт,Кирпичный,1 800,аренду
 Юнусабадский район,3,75,,6/9,Евроремонт,Кирпичный,900,аренду
 Мирзо-Улугбекский район,2,60,,1/6,Евроремонт,Кирпичный,900,аренду
 Мирзо-Улугбекский район,2,55,,2/5,Евроремонт,Кирпичный,1 200,аренду
 Мирзо-Улугбекский район,4,120,,2/5,Евроремонт,Кирпичный,1 300,аренду
 Яшнободский район,3,185,,4/9,Евроремонт,Панельный,1 200,аренду
 Мирабадский район,2,75,,4/12,Евроремонт,Кирпичный,2 200,аренду
