adress,rooms,size,floor,level,repair,wall,price
 Чиланзарский район,2,47.0,2,4,Средний,Панельный,350.0
 Чиланзарский район,3,74.0,1,9,Евроремонт,Кирпичный,1000.0
 Чиланзарский район,2,50.0,1,4,Средний,Панельный,400.0
 Чиланзарский район,2,45.0,1,9,Евроремонт,Кирпичный,500.0
 Чиланзарский район,2,60.0,1,9,Средний,Кирпичный,500.0
 Чиланзарский район,1,40.0,4,5,Средний,Кирпичный,300.0
 Чиланзарский район,1,40.0,4,5,Средний,Кирпичный,300.0
 Чиланзарский район,2,60.0,2,4,Евроремонт,Кирпичный,600.0
 Мирзо-Улугбекский район,3,65.0,9,9,Евроремонт,Кирпичный,900.0
 Юнусабадский район,4,225.0,7,8,Евроремонт,Кирпичный,3500.0
 Мирабадский район,3,200.0,2,6,Евроремонт,Кирпичный,1300.0
 Яшнободский район,3,80.0,2,9,Евроремонт,Кирпичный,900.0
 Яшнободский район,4,150.0,6,7,Евроремонт,Кирпичный,1800.0
 Мирабадский район,3,150.0,5,6,Евроремонт,Кирпичный,2700.0
 Мирзо-Улугбекский район,3,150.0,4,7,Евроремонт,Кирпичный,2200.0
 Яккасарайский район,4,125.0,4,8,Евроремонт,Кирпичный,1300.0
 Мирабадский район,4,100.0,3,6,Евроремонт,Кирпичный,800.0
 Юнусабадский район,2,65.0,4,6,Евроремонт,Кирпичный,1200.0
 Шайхантахурский район,3,85.0,6,8,Евроремонт,Кирпичный,1800.0
 Юнусабадский район,3,75.0,6,9,Евроремонт,Кирпичный,900.0
 Мирзо-Улугбекский район,2,60.0,1,6,Евроремонт,Кирпичный,900.0
 Мирзо-Улугбекский район,2,55.0,2,5,Евроремонт,Кирпичный,1200.0
 Мирзо-Улугбекский район,4,120.0,2,5,Евроремонт,Кирпичный,1300.0
 Яшнободский район,3,185.0,4,9,Евроремонт,Панельный,1200.0
 Мирабадский район,2,75.0,4,12,Евроремонт,Кирпичный,2200.0
 Шайхантахурский район,2,60.0,3,8,Евроремонт,Кирпичный,1500.0
 Яккасарайский район,4,180.0,1,9,Евроремонт,Кирпичный,9900.0
 Мирзо-Улугбекский район,4,100.0,3,4,Евроремонт,Кирпичный,999.0
 Яккасарайский район,3,85.0,6,8,Евроремонт,Кирпичный,1400.0
 Мирзо-Улугбекский район,3,120.0,3,7,Евроремонт,Кирпичный,2000.0
 Юнусабадский район,3,100.0,4,8,Евроремонт,Кирпичный,2200.0
 Юнусабадский район,3,100.0,5,8,Евроремонт,Кирпичный,1700.0
 Яшнободский район,6,370.0,25,25,Евроремонт,Кирпичный,4500.0
 Шайхантахурский район,4,125.0,6,7,Евроремонт,Кирпичный,1300.0
 Мирабадский район,3,70.0,3,9,Евроремонт,Кирпичный,1400.0
 Юнусабадский район,4,120.0,5,5,Евроремонт,Кирпичный,1500.0
 Яккасарайский район,6,220.0,5,7,Евроремонт,Кирпичный,1800.0
 Мирзо-Улугбекский район,3,100.0,6,8,Евроремонт,Кирпичный,800.0
 Мирабадский район,3,80.0,1,4,Евроремонт,Кирпичный,800.0
 Шайхантахурский район,3,100.0,4,6,Евроремонт,Кирпичный,1800.0
 Яккасарайский район,3,65.0,4,5,Черновая отделка,Кирпичный,700.0
 Шайхантахурский район,3,90.0,4,6,Евроремонт,Кирпичный,1800.0
 Юнусабадский район,4,100.0,8,9,Черновая отделка,Панельный,850.0
 Юнусабадский район,3,108.0,4,7,Евроремонт,Кирпичный,1100.0
 Мирзо-Улугбекский район,4,115.0,3,4,Черновая отделка,Кирпичный,800.0
 Шайхантахурский район,6,200.0,1,2,Евроремонт,Кирпичный,2000.0
 Мирабадский район,3,70.0,8,9,Евроремонт,Панельный,850.0
 Учтепинский район,3,65.0,4,5,Средний,Кирпичный,500.0
 Чиланзарский район,1,30.0,2,2,Средний,Кирпичный,250.0
 Мирзо-Улугбекский район,2,45.0,1,3,Черновая отделка,Кирпичный,300.0
 Яккасарайский район,2,65.0,4,4,Евроремонт,Кирпичный,1000.0
 Юнусабадский район,3,63.0,2,5,Евроремонт,Монолитный,602.0
 Шайхантахурский район,3,80.0,5,5,Средний,Панельный,1200.0
 Яккасарайский район,3,96.0,2,9,Евроремонт,Кирпичный,994.3
 Шайхантахурский район,2,55.0,5,12,Средний,Кирпичный,100.0
 Юнусабадский район,3,60.0,2,4,Средний,Панельный,500.0
 Яшнободский район,3,66.0,1,4,Евроремонт,Панельный,550.0
 Мирзо-Улугбекский район,1,45.0,3,4,Черновая отделка,Кирпичный,350.0
 Мирзо-Улугбекский район,2,60.0,4,9, , ,900.0
 Яшнободский район,2,50.0,7,9, , ,750.0
 Мирзо-Улугбекский район,2,60.0,2,9, , ,750.0
 Мирзо-Улугбекский район,2,60.0,1,5, , ,700.0
 Яккасарайский район,2,50.0,2,5, , ,700.0
 Мирзо-Улугбекский район,2,60.0,2,4, , ,700.0
 Яшнободский район,2,60.0,8,9,Евроремонт, ,700.0
 Шайхантахурский район,2,60.0,2,4,Евроремонт, ,550.0
 Шайхантахурский район,4,126.0,3,7,Евроремонт, ,3000.0
 Яккасарайский район,2,52.0,4,9,Евроремонт,Панельный,1100.0
 Юнусабадский район,2,60.0,7,9,Средний, ,500.0
 Юнусабадский район,2,52.0,2,4,Евроремонт,Кирпичный,1200.0
 Яшнободский район,1,39.0,6,9,Черновая отделка,Панельный,650.0
 Мирабадский район,3,85.0,4,8,Евроремонт,Кирпичный,1200.0
 Мирзо-Улугбекский район,3,100.0,6,6,Евроремонт,Кирпичный,1200.0
 Мирабадский район,3,85.0,2,7,Евроремонт,Кирпичный,1100.0
 Мирзо-Улугбекский район,2,60.0,8,9,Евроремонт,Кирпичный,850.0
 Мирабадский район,2,70.0,3,8,Евроремонт,Кирпичный,1200.0
 Юнусабадский район,2,60.0,3,4,Евроремонт,Кирпичный,650.0
 Мирабадский район,2,70.0,3,7,Евроремонт,Кирпичный,1100.0
 Мирабадский район,2,65.0,2,7,Евроремонт,Кирпичный,1100.0
 Мирабадский район,2,65.0,2,7,Евроремонт,Кирпичный,1100.0
 Мирабадский район,2,60.0,4,4,Евроремонт,Кирпичный,1000.0
 Яккасарайский район,2,44.0,6,7,Евроремонт,Кирпичный,1000.0
 Юнусабадский район,4,58.0,4,4,Черновая отделка,Кирпичный,800.0
 Мирзо-Улугбекский район,3,70.0,1,5,Черновая отделка,Кирпичный,500.0
 Мирабадский район,4,120.0,1,4,Евроремонт,Кирпичный,1000.0
 Мирабадский район,2,60.0,3,9,Евроремонт,Панельный,1200.0
 Мирзо-Улугбекский район,3,70.0,2,4,Евроремонт,Кирпичный,1200.0
 Мирабадский район,1,50.0,7,9,Евроремонт, ,700.0
 Яккасарайский район,3,70.0,4,4,Черновая отделка,Кирпичный,600.0
 Чиланзарский район,3,60.0,3,4,Евроремонт, ,600.0
 Мирабадский район,2,90.0,2,4,Евроремонт,Кирпичный,900.0
 Чиланзарский район,1,33.0,3,4,Черновая отделка,Кирпичный,300.0
 Чиланзарский район,2,50.0,6,9,Евроремонт,Панельный,450.0
 Яккасарайский район,3,90.0,4,8,Евроремонт,Кирпичный,1500.0
 Яшнободский район,3,80.0,2,8,Евроремонт,Кирпичный,800.0
 Мирабадский район,2,65.0,7,8,Евроремонт,Кирпичный,1100.0
 Мирзо-Улугбекский район,2,60.0,4,4,Евроремонт,Кирпичный,700.0
 Яшнободский район,3,80.0,1,2,Евроремонт,Кирпичный,400.0
 Олмазорский район,3,80.0,8,9,Евроремонт,Монолитный,850.0
 Мирзо-Улугбекский район,1,30.0,2,5,Евроремонт,Кирпичный,450.0
 Юнусабадский район,2,60.0,2,4,Евроремонт,Панельный,600.0
 Мирабадский район,3,75.0,3,9,Евроремонт,Панельный,700.0
 Шайхантахурский район,4,90.0,1,4,Черновая отделка,Кирпичный,600.0
 Юнусабадский район,1,40.0,7,8,Евроремонт,Кирпичный,1100.0
 Мирабадский район,2,60.0,6,6,Евроремонт,Кирпичный,1100.0
 Юнусабадский район,3,70.0,7,13,Евроремонт,Панельный,600.0
 Мирабадский район,4,100.0,9,9,Черновая отделка,Панельный,1100.0
 Юнусабадский район,1,40.0,8,13,Евроремонт,Кирпичный,600.0
 Юнусабадский район,3,88.0,3,9,Евроремонт,Кирпичный,1400.0
 Мирзо-Улугбекский район,3,85.0,1,5,Евроремонт,Кирпичный,700.0
 Мирзо-Улугбекский район,3,68.0,4,9,Евроремонт,Кирпичный,1050.0
 Мирзо-Улугбекский район,2,42.0,2,4,Черновая отделка,Кирпичный,400.0
 Яшнободский район,3,90.0,6,9,Черновая отделка,Кирпичный,600.0
 Мирабадский район,1,44.0,6,6,Черновая отделка,Кирпичный,700.0
 Шайхантахурский район,1,35.0,2,4,Черновая отделка,Кирпичный,400.0
 Чиланзарский район,1,42.0,5,5,Средний,Кирпичный,350.0
 Мирабадский район,2,65.0,5,9,Евроремонт,Кирпичный,1000.0
 Мирзо-Улугбекский район,2,60.0,8,9,Евроремонт,Кирпичный,900.0
 Олмазорский район,2,80.0,5,9,Евроремонт,Панельный,800.0
 Юнусабадский район,6,200.0,7,8,Евроремонт,Кирпичный,1200.0
 Яшнободский район,4,130.0,4,8,Евроремонт,Кирпичный,1400.0
 Мирабадский район,4,100.0,4,8,Евроремонт,Кирпичный,1000.0
 Мирабадский район,4,100.0,1,4,Евроремонт,Кирпичный,1400.0
 Яккасарайский район,4,115.0,1,9,Евроремонт,Кирпичный,1400.0
 Мирзо-Улугбекский район,4,115.0,5,8,Евроремонт,Кирпичный,1300.0
 Яшнободский район,3,105.0,3,8,Евроремонт,Кирпичный,1500.0
 Яккасарайский район,3,75.0,2,9,Евроремонт,Панельный,1000.0
 Шайхантахурский район,3,115.0,2,8,Евроремонт,Кирпичный,2500.0
 Мирабадский район,2,85.0,4,8,Евроремонт,Кирпичный,2000.0
 Яккасарайский район,6,200.0,1,4,Евроремонт,Кирпичный,1800.0
 Мирабадский район,3,80.0,9,9,Евроремонт,Кирпичный,2400.0
 Яккасарайский район,4,130.0,4,9,Евроремонт,Кирпичный,2400.0
 Яккасарайский район,4,165.0,3,5,Евроремонт,Кирпичный,2200.0
 Юнусабадский район,3,130.0,3,9,Евроремонт,Кирпичный,2700.0
 Мирабадский район,2,70.0,15,16,Черновая отделка,Монолитный,330.0
 Чиланзарский район,3,70.0,1,4,Евроремонт,Кирпичный,1700.0
 Яккасарайский район,3,80.0,5,6,Евроремонт,Кирпичный,1600.0
 Чиланзарский район,1,30.0,2,4,Средний,Кирпичный,350.0
 Мирабадский район,4,210.0,4,8,Евроремонт,Кирпичный,2500.0
 Мирабадский район,3,130.0,5,8,Евроремонт,Кирпичный,2300.0
 Юнусабадский район,4,180.0,5,8,Евроремонт,Кирпичный,4000.0
 Мирабадский район,3,110.0,8,8,Евроремонт,Кирпичный,2200.0
 Чиланзарский район,2,50.0,3,4,Евроремонт,Панельный,600.0
 Яккасарайский район,4,93.0,5,9,Черновая отделка, ,800.0
 Чиланзарский район,2,54.0,3,5,Евроремонт,Кирпичный,500.0
 Яшнободский район,2,46.0,3,5,Евроремонт,Панельный,600.0
 Юнусабадский район,3,110.0,4,7,Евроремонт,Кирпичный,1100.0
 Юнусабадский район,3,110.0,3,9,Евроремонт,Кирпичный,1100.0
 Юнусабадский район,3,110.0,5,9,Евроремонт,Кирпичный,1500.0
 Яккасарайский район,2,60.0,6,6,Евроремонт,Кирпичный,1000.0
 Шайхантахурский район,1,50.0,2,3,Средний,Кирпичный,800.0
 Мирабадский район,6,148.0,3,5,Средний,Кирпичный,2200.0
 Чиланзарский район,1,245.0,2,4,Евроремонт,Кирпичный,3430.0
 Юнусабадский район,2,50.0,3,3,Средний,Кирпичный,500.0
 Чиланзарский район,2,54.0,4,4,Средний,Кирпичный,450.0
 Мирзо-Улугбекский район,2,60.0,5,9,Евроремонт,Панельный,700.0
 Яшнободский район,2,40.0,2,5,Черновая отделка,Панельный,550.0
 Яшнободский район,2,65.0,7,11,Евроремонт,Кирпичный,600.0
 Мирзо-Улугбекский район,1,40.0,2,5,Черновая отделка,Панельный,450.0
 Яшнободский район,3,76.0,2,9,Евроремонт,Монолитный,850.0
 Мирзо-Улугбекский район,3,70.0,4,4,Евроремонт,Кирпичный,600.0
 Яшнободский район,1,39.0,6,9,Евроремонт,Панельный,650.0
 Мирабадский район,3,170.0,3,5,Евроремонт,Кирпичный,2000.0
 Шайхантахурский район,2,70.0,5,7,Евроремонт, ,1600.0
 Юнусабадский район,3,110.0,5,7,Евроремонт,Кирпичный,1400.0
 Мирзо-Улугбекский район,3,100.0,2,9,Евроремонт,Кирпичный,1300.0
 Шайхантахурский район,3,90.0,5,7,Евроремонт,Кирпичный,1800.0
 Яккасарайский район,2,68.0,6,8,Евроремонт,Кирпичный,1400.0
 Мирабадский район,6,225.0,5,7,Евроремонт,Кирпичный,1800.0
 Мирзо-Улугбекский район,4,85.0,7,9,Евроремонт,Кирпичный,800.0
 Шайхантахурский район,3,74.0,4,9,Черновая отделка,Панельный,750.0
 Яшнободский район,3,70.0,8,8,Евроремонт,Кирпичный,1000.0
 Яккасарайский район,2,90.0,2,7,Евроремонт,Кирпичный,800.0
 Юнусабадский район,1,38.0,2,5,Евроремонт,Панельный,350.0
 Мирзо-Улугбекский район,3,80.0,5,8,Евроремонт,Кирпичный,900.0
 Мирабадский район,2,60.0,4,4,Евроремонт,Кирпичный,800.0
 Мирзо-Улугбекский район,3,75.0,2,4,Черновая отделка,Кирпичный,800.0
 Мирзо-Улугбекский район,2,41.0,3,6,Евроремонт,Кирпичный,500.0
 Яккасарайский район,2,60.0,6,8,Евроремонт,Кирпичный,1000.0
 Шайхантахурский район,1,36.0,2,2,Черновая отделка,Кирпичный,250.0
 Мирабадский район,2,80.0,6,6,Евроремонт,Кирпичный,1300.0
 Янгихаётский район,3,100.0,6,9,Евроремонт,Кирпичный,400.0
 Чиланзарский район,1,30.0,1,4,Средний,Кирпичный,350.0
 Мирабадский район,4,97.0,3,8,Евроремонт,Кирпичный,1300.0
 Чиланзарский район,1,30.0,1,4,Евроремонт,Кирпичный,330.0
 Мирабадский район,3,90.0,1,4,Средний,Кирпичный,800.0
 Юнусабадский район,3,60.0,5,9,Черновая отделка,Панельный,550.0
 Яшнободский район,2,60.0,2,4,Евроремонт,Кирпичный,700.0
 Юнусабадский район,2,90.0,3,7,Черновая отделка,Кирпичный,1000.0
 Юнусабадский район,2,40.0,3,4,Евроремонт,Кирпичный,700.0
 Яккасарайский район,1,40.0,3,4,Евроремонт,Кирпичный,450.0
 Мирзо-Улугбекский район,3,100.0,7,9,Евроремонт,Кирпичный,1000.0
 Шайхантахурский район,3,100.0,6,8,Евроремонт,Кирпичный,2300.0
 Яккасарайский район,4,150.0,9,10,Евроремонт,Кирпичный,2500.0
 Юнусабадский район,6,220.0,1,8,Евроремонт,Кирпичный,2000.0
 Мирзо-Улугбекский район,3,145.0,7,8,Евроремонт,Кирпичный,2000.0
 Шайхантахурский район,3,95.0,7,8,Евроремонт,Кирпичный,1600.0
 Шайхантахурский район,3,100.0,7,8,Евроремонт,Кирпичный,2000.0
 Мирабадский район,4,200.0,2,7,Евроремонт,Кирпичный,2800.0
 Олмазорский район,2,50.0,7,9,Евроремонт,Кирпичный,800.0
 Яккасарайский район,6,225.0,5,7,Евроремонт,Кирпичный,2200.0
 Яшнободский район,3,94.0,1,10,Средний,Кирпичный,600.0
 Яккасарайский район,3,88.0,4,8,Евроремонт,Кирпичный,800.0
 Мирзо-Улугбекский район,3,70.0,3,4,Средний,Кирпичный,600.0
 Мирабадский район,4,180.0,6,7,Евроремонт,Кирпичный,1500.0
 Мирзо-Улугбекский район,2,57.0,1,1,Евроремонт,Кирпичный,400.0
 Яшнободский район,2,40.0,3,9,Евроремонт,Кирпичный,800.0
 Юнусабадский район,2,48.0,7,12,Евроремонт,Монолитный,1000.0
 Яшнободский район,2,60.0,2,9,Черновая отделка,Кирпичный,650.0
 Чиланзарский район,1,42.0,3,5,Средний,Кирпичный,350.0
 Яккасарайский район,2,48.0,5,5,Евроремонт,Кирпичный,500.0
 Яккасарайский район,3,100.0,5,9,Евроремонт,Панельный,700.0
 Яккасарайский район,6,225.0,5,7,Евроремонт,Кирпичный,1800.0
 Юнусабадский район,2,55.0,2,9,Евроремонт,Монолитный,45.0
 Чиланзарский район,2,55.0,7,8,Евроремонт, ,1100.0
 Мирабадский район,2,75.0,3,5,Евроремонт,Кирпичный,2000.0
 Мирзо-Улугбекский район,3,70.0,6,9,Евроремонт,Панельный,1000.0
 Мирабадский район,3,150.0,1,8,Евроремонт,Кирпичный,2500.0
 Юнусабадский район,3,100.0,5,8,Евроремонт,Кирпичный,2300.0
 Яшнободский район,2,50.0,8,9,Евроремонт,Кирпичный,700.0
 Юнусабадский район,4,92.0,9,9,Евроремонт,Монолитный,950.0
 Юнусабадский район,2,60.0,3,9,Евроремонт,Кирпичный,1800.0
 Яккасарайский район,2,65.0,4,6,Евроремонт,Кирпичный,2000.0
 Мирзо-Улугбекский район,3,75.0,2,8,Евроремонт,Кирпичный,2000.0
 Юнусабадский район,1,36.0,13,13,Евроремонт,Кирпичный,500.0
 Мирзо-Улугбекский район,3,80.0,5,5,Евроремонт,Панельный,800.0
 Яккасарайский район,2,55.0,2,9,Евроремонт, ,1200.0
 Шайхантахурский район,2,46.0,4,7,Евроремонт,Кирпичный,1200.0
 Мирабадский район,3,75.0,2,10,Евроремонт,Кирпичный,1500.0
 Олмазорский район,2,66.0,6,9,Евроремонт,Монолитный,700.0
 Яккасарайский район,6,145.0,1,8,Евроремонт,Кирпичный,2500.0
 Мирабадский район,3,185.0,7,10,Евроремонт,Кирпичный,4500.0
 Шайхантахурский район,3,105.0,2,8,Евроремонт,Кирпичный,3600.0
 Мирабадский район,3,180.0,4,9,Евроремонт,Панельный,2000.0
 Мирзо-Улугбекский район,3,52.0,1,4,Черновая отделка,Панельный,600.0
 Юнусабадский район,4,100.0,5,7,Евроремонт,Кирпичный,1400.0
 Юнусабадский район,4,110.0,8,10,Евроремонт,Кирпичный,1200.0
 Мирзо-Улугбекский район,2,65.0,6,8,Евроремонт,Кирпичный,1200.0
 Яккасарайский район,2,70.0,6,9,Евроремонт,Кирпичный,1000.0
 Юнусабадский район,2,54.0,3,4,Черновая отделка,Кирпичный,400.0
 Мирзо-Улугбекский район,2,65.0,6,8,Евроремонт, ,1200.0
 Чиланзарский район,1,30.0,4,4,Евроремонт,Кирпичный,350.0
 Яккасарайский район,2,70.0,6,8,Евроремонт,Кирпичный,1400.0
 Яккасарайский район,3,100.0,9,9,Евроремонт,Кирпичный,1200.0
 Яккасарайский район,2,45.0,6,7,Евроремонт,Кирпичный,1000.0
 Яккасарайский район,2,40.0,4,5,Средний,Панельный,450.0
 Шайхантахурский район,3,105.0,4,8,Евроремонт,Кирпичный,1400.0
 Мирабадский район,3,91.0,7,9,Евроремонт,Кирпичный,2000.0
 Шайхантахурский район,3,105.0,5,7,Евроремонт,Кирпичный,1400.0
 Яшнободский район,2,65.0,5,8,Евроремонт,Кирпичный,900.0
 Яккасарайский район,2,62.0,6,6,Евроремонт,Кирпичный,800.0
 Мирзо-Улугбекский район,3,80.0,9,9,Евроремонт,Панельный,900.0
 Мирзо-Улугбекский район,3,85.0,2,4,Евроремонт,Кирпичный,1400.0
 Юнусабадский район,3,85.0,2,4,Евроремонт,Кирпичный,1300.0
 Мирзо-Улугбекский район,4,110.0,3,9,Евроремонт,Панельный,800.0
 Яккасарайский район,3,80.0,4,9,Евроремонт,Панельный,1000.0
 Мирабадский район,2,50.0,9,10,Евроремонт,Кирпичный,1000.0
 Чиланзарский район,1,30.0,1,4,Черновая отделка,Кирпичный,300.0
 Шайхантахурский район,4,80.0,4,4,Евроремонт,Кирпичный,700.0
 Мирабадский район,4,220.0,2,7,Евроремонт,Кирпичный,2500.0
 Шайхантахурский район,3,106.0,6,8,Евроремонт,Кирпичный,1500.0
 Мирабадский район,4,160.0,6,7,Евроремонт,Кирпичный,1600.0
 Мирзо-Улугбекский район,3,100.0,5,8,Евроремонт,Кирпичный,800.0
 Шайхантахурский район,2,73.0,2,8,Евроремонт,Кирпичный,1500.0
 Яккасарайский район,3,121.0,3,5,Евроремонт,Кирпичный,1000.0
 Шайхантахурский район,3,95.0,4,7,Евроремонт,Кирпичный,2300.0
 Юнусабадский район,3,110.0,4,7,Евроремонт,Кирпичный,1100.0
 Шайхантахурский район,3,99.0,4,7,Евроремонт,Кирпичный,1800.0
 Мирзо-Улугбекский район,1,32.0,1,4,Черновая отделка,Кирпичный,450.0
 Мирзо-Улугбекский район,3,90.0,7,9,Евроремонт,Кирпичный,1100.0
 Юнусабадский район,1,42.0,5,5,Евроремонт,Панельный,400.0
 Шайхантахурский район,3,99.0,3,9,Евроремонт,Кирпичный,2200.0
 Мирабадский район,3,90.0,4,6,Евроремонт,Кирпичный,1300.0
 Шайхантахурский район,3,91.0,4,6,Евроремонт,Кирпичный,1800.0
 Шайхантахурский район,2,73.0,3,7,Евроремонт,Кирпичный,1300.0
 Яккасарайский район,2,67.0,4,8,Средний,Кирпичный,480.0
 Мирзо-Улугбекский район,2,50.0,2,4,Средний,Кирпичный,300.0
 Мирзо-Улугбекский район,2,60.0,2,5,Евроремонт,Кирпичный,500.0
 Юнусабадский район,2,60.0,3,4,Евроремонт,Кирпичный,700.0
 Мирзо-Улугбекский район,3,70.0,2,4,Средний,Кирпичный,500.0
 Юнусабадский район,4,80.0,2,4,Евроремонт,Кирпичный,1000.0
 Мирзо-Улугбекский район,2,50.0,12,25,Евроремонт,Монолитный,1200.0
 Шайхантахурский район,3,104.0,4,8,Евроремонт,Кирпичный,1500.0
 Юнусабадский район,2,60.0,9,9,Евроремонт,Панельный,600.0
 Мирзо-Улугбекский район,3,65.0,2,4,Евроремонт,Панельный,500.0
 Юнусабадский район,2,60.0,7,9,Евроремонт,Панельный,600.0
 Мирзо-Улугбекский район,3,70.0,6,9,Черновая отделка,Панельный,750.0
 Мирзо-Улугбекский район,2,60.0,8,9,Евроремонт,Панельный,1300.0
 Юнусабадский район,3,65.0,2,6,Евроремонт,Кирпичный,800.0
 Яккасарайский район,2,55.0,5,9,Евроремонт,Кирпичный,1500.0
 Олмазорский район,2,75.0,11,13,Евроремонт,Кирпичный,800.0
 Яшнободский район,2,65.0,9,9,Евроремонт,Кирпичный,600.0
 Яшнободский район,2,60.0,1,9,Евроремонт,Кирпичный,650.0
 Яшнободский район,2,40.0,4,5,Евроремонт,Монолитный,510.0
 Юнусабадский район,4,80.0,2,4,Евроремонт,Кирпичный,950.0
 Яккасарайский район,2,44.0,6,9,Евроремонт,Кирпичный,850.0
 Яккасарайский район,2,67.0,3,9,Евроремонт,Кирпичный,1000.0
 Юнусабадский район,2,55.0,4,4,Евроремонт,Кирпичный,800.0
 Чиланзарский район,2,66.0,9,10,Евроремонт,Кирпичный,700.0
 Яккасарайский район,3,83.0,4,5,Евроремонт,Кирпичный,900.0
 Мирзо-Улугбекский район,3,62.0,4,9,Черновая отделка,Кирпичный,600.0
 Олмазорский район,1,38.0,1,9,Евроремонт,Панельный,600.0
 Мирзо-Улугбекский район,2,60.0,5,9,Евроремонт,Панельный,700.0
 Шайхантахурский район,3,67.0,2,4,Евроремонт,Кирпичный,850.0
 Юнусабадский район,2,60.0,1,9,Черновая отделка,Панельный,550.0
 Яккасарайский район,2,80.0,2,4,Евроремонт,Кирпичный,400.0
 Мирзо-Улугбекский район,3,50.0,2,4,Средний,Панельный,300.0
 Чиланзарский район,2,61.0,8,9,Черновая отделка,Панельный,450.0
 Юнусабадский район,2,60.0,3,4,Евроремонт,Кирпичный,700.0
 Мирабадский район,2,65.0,6,8,Евроремонт,Кирпичный,2300.0
 Мирабадский район,2,60.0,9,9,Евроремонт,Кирпичный,1800.0
 Яшнободский район,3,71.0,2,4,Евроремонт,Кирпичный,350.0
 Сергелийский район,2,62.0,1,9,Средний,Монолитный,500.0
 Мирабадский район,2,62.0,5,6,Евроремонт,Кирпичный,2000.0
 Мирабадский район,4,150.0,6,6,Евроремонт,Кирпичный,1600.0
 Юнусабадский район,2,60.0,5,9, , ,500.0
 Чиланзарский район,3,95.0,8,9,Евроремонт, ,1000.0
 Чиланзарский район,1,50.0,2,5,Средний,Кирпичный,250.0
 Шайхантахурский район,3,100.0,3,8,Евроремонт,Кирпичный,2200.0
 Мирзо-Улугбекский район,3,90.0,7,9,Евроремонт,Кирпичный,1100.0
 Шайхантахурский район,3,100.0,4,7,Евроремонт,Кирпичный,1800.0
 Юнусабадский район,3,110.0,4,7,Евроремонт,Кирпичный,1100.0
 Шайхантахурский район,3,95.0,5,7,Евроремонт,Кирпичный,2300.0
 Яккасарайский район,3,120.0,3,5,Евроремонт,Кирпичный,1000.0
 Мирабадский район,3,89.0,4,6,Евроремонт,Кирпичный,1300.0
 Шайхантахурский район,3,91.0,4,7,Евроремонт,Кирпичный,1800.0
 Шайхантахурский район,2,71.0,3,6,Евроремонт,Кирпичный,1300.0
 Шайхантахурский район,2,71.0,2,8,Евроремонт,Кирпичный,1500.0
 Шайхантахурский район,3,110.0,6,8,Евроремонт,Кирпичный,1500.0
 Яккасарайский район,3,110.0,4,7,Евроремонт,Кирпичный,1000.0
 Мирабадский район,3,100.0,4,4,Евроремонт,Кирпичный,900.0
 Чиланзарский район,3,56.0,3,4,Средний,Кирпичный,450.0
 Юнусабадский район,2,56.0,9,11,Евроремонт, ,600.0
 Мирзо-Улугбекский район,2,56.0,4,5,Черновая отделка,Кирпичный,500.0
 Яккасарайский район,2,55.0,8,9,Черновая отделка,Панельный,500.0
 Яккасарайский район,2,56.0,4,4,Евроремонт,Кирпичный,800.0
 Чиланзарский район,1,30.0,3,4,Черновая отделка,Кирпичный,350.0
 Шайхантахурский район,3,71.0,2,9,Евроремонт,Кирпичный,1450.0
 Мирзо-Улугбекский район,2,55.0,2,4,Черновая отделка,Кирпичный,400.0
 Яшнободский район,2,65.0,6,9,Евроремонт,Кирпичный,750.0
 Чиланзарский район,2,35.0,3,4,Евроремонт,Панельный,450.0
 Юнусабадский район,2,60.0,5,5,Евроремонт,Панельный,500.0
 Мирзо-Улугбекский район,1,42.0,5,9,Евроремонт,Монолитный,700.0
 Шайхантахурский район,3,95.0,4,8,Евроремонт,Кирпичный,2000.0
 Шайхантахурский район,3,100.0,3,8,Евроремонт,Кирпичный,2200.0
 Шайхантахурский район,3,105.0,6,7,Евроремонт,Кирпичный,2500.0
 Яккасарайский район,4,160.0,6,9,Евроремонт,Кирпичный,1100.0
 Мирабадский район,3,105.0,6,9,Евроремонт,Кирпичный,1500.0
 Мирзо-Улугбекский район,3,75.0,4,9,Евроремонт,Панельный,1200.0
 Яккасарайский район,3,90.0,6,7,Евроремонт,Кирпичный,1000.0
 Яккасарайский район,3,130.0,2,9,Евроремонт,Кирпичный,800.0
 Яккасарайский район,3,90.0,8,8,Евроремонт,Кирпичный,900.0
 Шайхантахурский район,3,100.0,5,7,Евроремонт,Кирпичный,2500.0
 Шайхантахурский район,3,94.0,6,8,Евроремонт,Кирпичный,2500.0
 Мирабадский район,2,61.0,5,9,Евроремонт,Панельный,800.0
 Юнусабадский район,3,110.0,5,9,Евроремонт,Кирпичный,1000.0
 Мирабадский район,3,175.0,5,6,Евроремонт,Кирпичный,3000.0
 Мирзо-Улугбекский район,3,136.0,6,9,Евроремонт,Кирпичный,2000.0
 Яккасарайский район,3,153.0,7,10,Евроремонт,Кирпичный,1200.0
 Шайхантахурский район,3,101.0,2,10,Евроремонт,Кирпичный,2300.0
 Шайхантахурский район,3,100.0,4,7,Евроремонт,Кирпичный,1800.0
 Шайхантахурский район,3,100.0,7,8,Евроремонт,Кирпичный,2500.0
 Юнусабадский район,3,110.0,4,7,Евроремонт,Кирпичный,1100.0
